name,scientific,image
Tinkling Cisticola,Cisticola rufilatus,N/A
Wailing Cisticola,Cisticola lais,https://birda.twic.pics/species/ff746f3e-837e-40ff-9a59-d25e572a90cc/reference_images/Wailing_Cisticola_.jpg
Wing-snapping Cisticola,Cisticola ayresii,N/A
Yellow-bellied Eremomela,Eremomela icteropygialis,N/A
Yellow-breasted Apalis,Apalis flavida,https://birda.twic.pics/species/9be536fb-3ad3-47f9-a801-2686d7d6a392/reference_images/Yellow-breasted_Apalis-_Male.jpg
Bank Cormorant,Phalacrocorax neglectus,https://birda.twic.pics/species/9c74b474-96a6-4e9d-a94f-515cd3af8189/reference_images/Bank_Cormorant.jpg
Cape Cormorant,Phalacrocorax capensis,https://birda.twic.pics/species/512682f5-27c8-4b3e-a767-0a64007528bf/reference_images/Crowned_Cormorant.jpg
Crowned Cormorant,Microcarbo coronatus,https://birda.twic.pics/species/9d2df5fc-d5c0-4b67-b46c-60360d19abcd/reference_images/Reed_Cormorant_-_Adult.jpg
Reed Cormorant,Microcarbo africanus,https://birda.twic.pics/species/e90dfffe-527b-412a-b329-4db5ec87b52d/reference_images/White-breasted_Cormorant.jpg
White-breasted Cormorant,Phalacrocorax lucidus,https://birda.twic.pics/species/e98de4d4-fad1-4701-8bc8-a4a9b8991b93/reference_images/Black-winged_Pratincole.jpg
Black-winged Pratincole,Glareola nordmanni,https://birda.twic.pics/species/93adb679-203a-481e-a0b1-60a770b9aa71/reference_images/Bronze-winged_Courser.jpg
Bronze-winged Courser,Rhinoptilus chalcopterus,https://birda.twic.pics/species/f2840c46-af93-4ebe-a0a3-bf0a6c3e3253/reference_images/Burchells_Courser.jpg
Burchell's Courser,Cursorius rufus,https://birda.twic.pics/species/025a3eca-83b5-44d1-89be-2c94f7007809/reference_images/Collared_Pratincole.jpg
Collared Pratincole,Glareola pratincola,https://birda.twic.pics/species/3f258bc5-2507-4248-8e37-7ea2ff9cc973/reference_images/Double-banded_Courser.jpg
Double-banded Courser,Rhinoptilus africanus,https://birda.twic.pics/species/2e3e5503-278b-4b3e-a1c6-c3402a4eb7ad/reference_images/Madagascar_Pratincole.jpg
Madagascar Pratincole,Glareola ocularis,https://birda.twic.pics/species/da33fa20-4dec-4b42-9013-ce33e9233b4b/reference_images/Rock_Pratincole.jpg
Rock Pratincole,Glareola nuchalis,https://birda.twic.pics/species/b7a9ac29-9aa2-496a-b74f-7419df6e5123/reference_images/Temmincks_Courser.jpg
Temminck's Courser,Cursorius temminckii,https://birda.twic.pics/species/e73d0bd3-15fe-4742-a824-46b99f834969/reference_images/Three-banded_Courser.jpg
Three-banded Courser,Rhinoptilus cinctus,https://birda.twic.pics/species/8846fa04-6743-4b8e-a196-3667640efd28/reference_images/Crab-plover.jpg
Crab-plover,Dromas ardeola,https://birda.twic.pics/species/09da07d6-f7cd-478f-a2f8-1ee29c0b0864/reference_images/Blue_Crane.jpg
Blue Crane,Grus paradisea,https://birda.twic.pics/species/65bcd4df-a06d-4425-8d58-c23eb3640e6e/reference_images/Grey_Crowned_Crane.jpg
Grey Crowned Crane,Balearica regulorum,https://birda.twic.pics/species/1338d489-13b8-4aa9-a590-c60ca453b1b2/reference_images/Wattled_Crane.jpg
Wattled Crane,Grus carunculata,https://birda.twic.pics/species/2e034698-0564-4a4e-b7ec-7e90fb0b4ee2/reference_images/Cape_Grassbird_.jpg
Cape Grassbird,Sphenoeacus afer,https://birda.twic.pics/species/996bd0c5-fe1d-4079-9108-a22a6709d169/reference_images/Long-billed_Crombec.jpg
Long-billed Crombec,Sylvietta rufescens,https://birda.twic.pics/species/996bd0c5-fe1d-4079-9108-a22a6709d169/reference_images/Long-billed_Crombec.jpg
Moustached Grass Warbler,Melocichla mentalis,N/A
Red-capped Crombec,Sylvietta ruficapilla,N/A
Red-faced Crombec,Sylvietta whytii,N/A
Rockrunner,Achaetops pycnopygius,N/A
Victorin's Warbler,Cryptillas victorini,N/A
Cape Crow,Corvus capensis,https://birda.twic.pics/species/a09d6a2b-cad7-4f60-98d9-2fff8fa46f90/reference_images/House_Crow.jpg
House Crow,Corvus splendens,https://birda.twic.pics/species/5ba8526e-8c92-4729-b905-a8c944ced762/reference_images/Pied_Crow_-_Adult.jpg
Pied Crow,Corvus albus,https://birda.twic.pics/species/95f49b1f-0961-4ebb-ad6a-8decfc1ae218/reference_images/White-necked_Raven.jpg
White-necked Raven,Corvus albicollis,https://birda.twic.pics/species/2217f4fa-5e41-4d19-9113-39a8dd51eac8/reference_images/African_Cuckoo.jpg
African Cuckoo,Cuculus gularis,https://birda.twic.pics/species/2217f4fa-5e41-4d19-9113-39a8dd51eac8/reference_images/African_Cuckoo.jpg
African Emerald Cuckoo,Chrysococcyx cupreus,N/A
Barred Long-tailed Cuckoo,Cercococcyx montanus,N/A
Black Coucal,Centropus grillii,N/A
Black Cuckoo,Cuculus clamosus,N/A
Burchell's Coucal,Centropus burchellii,https://birda.twic.pics/species/1bb15b67-f303-4c5a-be8e-bf492a7c0f82/reference_images/Burchells_Coucal.jpg
Coppery-tailed Coucal,Centropus cupreicaudus,N/A
Cuckoo,Cuculus canorus,https://birda.twic.pics/species/0979e7cb-b638-48fe-b358-3fb234675dcb/reference_images/Common_Cuckoo.jpg
Diederik Cuckoo,Chrysococcyx caprius,https://birda.twic.pics/species/2d5e15f8-003a-4924-a1f8-549af4588ab6/reference_images/Diederik_Cuckoo_-_Adult.jpg
Great Spotted Cuckoo,Clamator glandarius,https://birda.twic.pics/species/a230907b-ceef-4c0c-9d32-3e500ec67330/reference_images/Great_Spotted_Cuckoo_2.jpg
Green Malkoha,Ceuthmochares australis,N/A
Jacobin Cuckoo,Clamator jacobinus,https://birda.twic.pics/species/e5c6653c-3b0b-4d1d-94ac-50c312027b62/reference_images/Jacobin_Cuckoo.jpg
Klaas's Cuckoo,Chrysococcyx klaas,https://birda.twic.pics/species/6eb397de-5b98-420b-95d9-f57047f3b2ff/reference_images/Klaass_Cuckoo-_Male.jpg
Lesser Cuckoo,Cuculus poliocephalus,N/A
Levaillant's Cuckoo,Clamator levaillantii,https://birda.twic.pics/species/945a8823-51c1-41c0-a381-3b48d890a09c/reference_images/Levaillants_Cuckoo.jpg
Madagascar Cuckoo,Cuculus rochii,N/A
Red-chested Cuckoo,Cuculus solitarius,https://birda.twic.pics/species/95aa60ba-90ea-43e0-8f52-62ea5c49a50c/reference_images/Red-chested_Cuckoo.jpg
Senegal Coucal,Centropus senegalensis,https://birda.twic.pics/species/bdd36066-8cc3-4b6b-82a7-18c0f6571f0b/reference_images/Senegal_Coucal.jpg
Thick-billed Cuckoo,Pachycoccyx audeberti,N/A
White-browed Coucal,Centropus superciliosus,https://birda.twic.pics/species/e9fc1264-68c7-4957-984b-dabdf9a20b40/reference_images/White-browed_Coucal.jpg
Black Cuckooshrike,Campephaga flava,N/A
Grey Cuckooshrike,Ceblepyris caesius,N/A
White-breasted Cuckooshrike,Ceblepyris pectoralis,N/A
Common Square-tailed Drongo,Dicrurus ludwigii,N/A
Fork-tailed Drongo,Dicrurus adsimilis,https://birda.twic.pics/species/a9b9ca0b-381a-487f-8e2d-c4a24787d4ba/reference_images/Fork-tailed_Drongo_-_Adult.jpg
African Black Duck,Anas sparsa,https://birda.twic.pics/species/6d568104-708c-43d1-9644-619a3792b0af/reference_images/African_Black_Duck.jpg
African Pygmy Goose,Nettapus auritus,https://birda.twic.pics/species/a584bfab-b6d8-4d60-ae1c-a788a5a5a88f/reference_images/African_Pygmy_Goose-_Male-_Swimmin.jpg
Blue-billed Teal,Spatula hottentota,https://birda.twic.pics/species/d5e33328-4320-4bfa-83f8-050b14bd0478/reference_images/Blue-billed_Teal-_Swimming.jpg
Cape Shoveler,Spatula smithii,https://birda.twic.pics/species/1f427af5-449c-4389-9358-41a21acc1c83/reference_images/Cape_Shoveller-_Male-_Swimming.jpg
Cape Teal,Anas capensis,https://birda.twic.pics/species/6e21b2fa-40c2-44d9-bcd3-9ca8fc725438/reference_images/Cape_Teal-_Swimming.jpg
Egyptian Goose,Alopochen aegyptiaca,https://birda.twic.pics/species/f0f37cf4-4fa0-4af0-ada6-e6b59987a5c1/reference_images/Egyptian_Goose.jpg
Fulvous Whistling Duck,Dendrocygna bicolor,https://birda.twic.pics/species/bb5255d0-c86f-4a23-98d9-5be9a5d3d6ac/reference_images/Fulvous_Whistling_Duck.jpg
Garganey,Spatula querquedula,https://birda.twic.pics/species/dea5e174-a435-4b1f-a10a-c94fd4318801/reference_images/Garganey_-_Male.jpg
Knob-billed Duck,Sarkidiornis melanotos,https://birda.twic.pics/species/5ad8b0a8-cb4f-4f67-961c-eadeee449a06/reference_images/Knob-billed_Duck-_Male.jpg
Maccoa Duck,Oxyura maccoa,N/A
Mallard,Anas platyrhynchos,https://birda.twic.pics/species/4da1099c-41bf-43b5-a6bc-944dbcf2f8a7/reference_images/Mallard.jpg
Mute Swan,Cygnus olor,https://birda.twic.pics/species/accf9f1a-65eb-4a49-9457-86eb5779a2e9/reference_images/Mute_Swan.jpg
Pintail,Anas acuta,https://birda.twic.pics/species/d08f2150-1ece-4c38-b6ab-81eda34ba539/reference_images/Northern_Pintail_-_Male.jpg
Red-billed Teal,Anas erythrorhyncha,https://birda.twic.pics/species/713171ec-efd6-4985-8a6c-a7e872eb2b55/reference_images/Red-billed_Teal-_Swimming.jpg
Shoveler,Spatula clypeata,https://birda.twic.pics/species/ec4bfbfb-25ae-455a-bd9f-77c568325ea0/reference_images/Northern_Shoveler_-_Male.jpg
South African Shelduck,Tadorna cana,https://birda.twic.pics/species/662ebd22-8c72-4f5a-8a18-cdd316af05c2/reference_images/South_African_Shellduck-_Male-_Swi.jpg
Southern Pochard,Netta erythrophthalma,https://birda.twic.pics/species/2a03ac7f-4f66-49a4-a676-94aee1bdd326/reference_images/Southern_Pochard-_Male-_Swimming_.jpg
Spur-winged Goose,Plectropterus gambensis,https://birda.twic.pics/species/19755167-f4d7-4725-afd1-ae802c13ca98/reference_images/Spur-winged_Goose.jpg
White-backed Duck,Thalassornis leuconotus,https://birda.twic.pics/species/8b0dae41-69b6-4d50-8f25-de8f60083618/reference_images/White-backed_Duck.jpg
White-faced Whistling Duck,Dendrocygna viduata,https://birda.twic.pics/species/379a6f35-9336-4dd2-8878-64b08383548b/reference_images/White-faced_Whistling_Duck.jpg
Yellow-billed Duck,Anas undulata,https://birda.twic.pics/species/3af53791-c4f0-4808-b9fa-37c8472fa44b/reference_images/Yellow-billed_Duck_-_Adult.jpg
Fairy Flycatcher,Stenostira scita,https://birda.twic.pics/species/d8a15c20-6258-4a47-b393-4fee3fd05eac/reference_images/Fairy_Flycatcher.jpg
White-tailed Crested Flycatcher,Elminia albonotata,N/A
African Golden Oriole,Oriolus auratus,N/A
Black-headed Oriole,Oriolus larvatus,https://birda.twic.pics/species/16031a70-0e1e-4899-91b0-6abf50e6008b/reference_images/Black-headed_Oriole.jpg
Golden Oriole,Oriolus oriolus,https://birda.twic.pics/species/4ebb3b65-3fec-4d95-828c-c992a61969d1/reference_images/Eurasian_Golden_Oriole.jpg
Green-headed Oriole,Oriolus chlorocephalus,N/A
Black-eared Seedeater,Crithagra mennelli,N/A
Black-headed Canary,Serinus alario,https://birda.twic.pics/species/878f4e4f-1308-4031-a530-4901a67185b5/reference_images/Black-headed_Canary.jpg
Black-throated Canary,Crithagra atrogularis,https://birda.twic.pics/species/b5d0970b-fa18-4db5-b390-9afa140b8d97/reference_images/Black-throated_Canary.jpg
Brimstone Canary,Crithagra sulphurata,https://birda.twic.pics/species/16f673eb-cfe0-44fc-a830-80b8558d5180/reference_images/Brimstone_Canary-_Male.jpg
Cape Canary,Serinus canicollis,https://birda.twic.pics/species/de384c01-eada-4a81-a802-9503afc5e427/reference_images/Cape_Canary-_Male.jpg
Cape Siskin,Crithagra totta,N/A
Chaffinch,Fringilla coelebs,https://birda.twic.pics/species/b2f4f013-38af-42ab-b769-cefe48705007/reference_images/Common_Chaffinch.jpg
Drakensberg Siskin,Crithagra symonsi,N/A
Forest Canary,Crithagra scotops,https://birda.twic.pics/species/7b4810ce-f1ca-45e5-8c08-dab33830b0ed/reference_images/Forest_Canary-_Male.jpg
Lemon-breasted Canary,Crithagra citrinipectus,N/A
Protea Canary,Crithagra leucoptera,https://birda.twic.pics/species/d5b16b70-fe31-44f7-8100-0a61b871f767/reference_images/Protea_Canary.jpg
Streaky-headed Seedeater,Crithagra gularis,https://birda.twic.pics/species/6f441557-d623-42ef-a4d3-a21367b20401/reference_images/Streaky-headed_Seedeater.jpg
White-throated Canary,Crithagra albogularis,https://birda.twic.pics/species/ff5b5cc5-b460-49a1-bdd5-3bc14a6536b9/reference_images/White-throated_Canary.jpg
Yellow Canary,Crithagra flaviventris,https://birda.twic.pics/species/2d33f020-1e71-4044-abf8-89ff30ef5c35/reference_images/Yellow_Canary-_Male_.jpg
Yellow-fronted Canary,Crithagra mozambica,https://birda.twic.pics/species/6cd5eca5-3048-4973-8b83-f74c67c11ed4/reference_images/Yellow-fronted_Canary.jpg
African Finfoot,Podica senegalensis,https://birda.twic.pics/species/b421c983-006f-4dd8-bf9b-7b9e9c6cdbe8/reference_images/African_Finfoot-_Male.jpg
Greater Flamingo,Phoenicopterus roseus,https://birda.twic.pics/species/973b102a-8a61-4921-8bbb-6542c6e63d4f/reference_images/Greater_Flamingo.jpg
Lesser Flamingo,Phoeniconaias minor,https://birda.twic.pics/species/3aa797a5-9021-4f8e-88b5-4429e2104d19/reference_images/Lesser_Flamingo.jpg
Buff-spotted Flufftail,Sarothrura elegans,N/A
Red-chested Flufftail,Sarothrura rufa,N/A
Streaky-breasted Flufftail,Sarothrura boehmi,N/A
Striped Flufftail,Sarothrura affinis,N/A
White-winged Flufftail,Sarothrura ayresi,N/A
Great Frigatebird,Fregata minor,https://birda.twic.pics/species/97ef149c-342a-42e3-9ca1-60d2f233e02d/reference_images/Great_Frigatebird-_Flying-_Male.jpg
Lesser Frigatebird,Fregata ariel,N/A
Australasian Gannet,Morus serrator,https://birda.twic.pics/species/f94f3a85-58dd-448b-8b06-5e1ee576f6ff/reference_images/Australasian_Gannet.jpg
Brown Booby,Sula leucogaster,https://birda.twic.pics/species/0be2d077-d49f-4e94-b792-8ab720037f2e/reference_images/Brown_Booby-_Male.jpg
Cape Gannet,Morus capensis,https://birda.twic.pics/species/63c1102f-9adb-42a4-ad6f-3ba01760ae3c/reference_images/Cape_Gannet-_Flying.jpg
Masked Booby,Sula dactylatra,https://birda.twic.pics/species/978c4ebf-2637-447a-bba7-946bf9c956d6/reference_images/Masked_Booby.jpg
Red-footed Booby,Sula sula,https://birda.twic.pics/species/164e15ed-a2a4-4e65-89bb-3c86b9b0d583/reference_images/Red-footed_Booby.jpg
Barratt's Warbler,Bradypterus barratti,N/A
Fan-tailed Grassbird,Catriscus brevirostris,N/A
Knysna Warbler,Bradypterus sylvaticus,N/A
Little Rush Warbler,Bradypterus baboecala,N/A
River Warbler,Locustella fluviatilis,https://birda.twic.pics/species/397d8207-f4bf-4105-8e62-4b1db0a28cda/reference_images/Black-necked_Grebe.jpg
Black-necked Grebe,Podiceps nigricollis,https://birda.twic.pics/species/d27815d3-7385-4be8-8c2f-327d4f072b89/reference_images/Great_Crested_Grebe.jpg
Great Crested Grebe,Podiceps cristatus,https://birda.twic.pics/species/821dd9f1-3259-475e-a516-0898d85c2518/reference_images/Little_Grebe.jpg
Little Grebe,Tachybaptus ruficollis,https://birda.twic.pics/species/88ae48d6-7502-4272-a4d3-dbe31650a093/reference_images/Southern_Ground_Hornbill-_Male.jpg
Southern Ground Hornbill,Bucorvus leadbeateri,https://birda.twic.pics/species/891eaffa-b3d2-444c-89ec-07e2a55c985f/reference_images/Eastern_Crested_Guineafowl.jpg
Crested Guineafowl,Guttera pucherani,https://birda.twic.pics/species/acf58332-32d3-414f-b111-a073fb7cad45/reference_images/Helmeted_Guineafowl.jpg
Helmeted Guineafowl,Numida meleagris,https://birda.twic.pics/species/affdd817-d5e0-49d9-9f80-28e40331997f/reference_images/African_Skimmer.jpg
African Skimmer,Rynchops flavirostris,https://birda.twic.pics/species/95db973e-7744-4212-a19c-1fe4ea03ac43/reference_images/Antarctic_Tern-_Breeding.jpg
Antarctic Tern,Sterna vittata,https://birda.twic.pics/species/459a35dd-3aaf-4236-ab6e-ae6112133662/reference_images/Arctic_Tern.jpg
Arctic Tern,Sterna paradisaea,https://birda.twic.pics/species/18d32904-263e-4f6b-ac7d-cc72739b807e/reference_images/Black-headed_Gull.jpg
Black-headed Gull,Chroicocephalus ridibundus,https://birda.twic.pics/species/ef1385ae-fcba-49a5-bfb9-90b92851d927/reference_images/Black-naped_Tern.jpg
Black-naped Tern,Sterna sumatrana,https://birda.twic.pics/species/0b99f4f9-2794-48b0-b6ce-dcbf0f1dbe1c/reference_images/Black_Skimmer.jpg
Black Skimmer,Rynchops niger,https://birda.twic.pics/species/0b99f4f9-2794-48b0-b6ce-dcbf0f1dbe1c/reference_images/Black_Skimmer.jpg
Black Tern,Chlidonias niger,https://birda.twic.pics/species/b6042d30-e6b3-4ebb-b68a-1b82efd4cce3/reference_images/Black_Tern-_Summer-_Flying.jpg
Bridled Tern,Onychoprion anaethetus,https://birda.twic.pics/species/2616cc64-27b9-4252-9d49-d74578fea0ec/reference_images/Bridled_Tern_-_Flying_-_Bottom.jpg
Brown Noddy,Anous stolidus,https://birda.twic.pics/species/876deec3-b4fe-4296-859b-9ee5e4bc45c6/reference_images/Brown_Noddy.jpg
Caspian Tern,Hydroprogne caspia,https://birda.twic.pics/species/4f5428c7-6d06-4993-84e2-8a3b3a8b3415/reference_images/Caspian_Tern.jpg
Common Tern,Sterna hirundo,https://birda.twic.pics/species/f1404067-675b-408c-8726-7ab45a8e9c96/reference_images/Common_Tern.jpg
Damara Tern,Sternula balaenarum,https://birda.twic.pics/species/ee33abb7-15c8-423d-844c-3288f497a327/reference_images/Damara_Tern-_Breeding.jpg
Elegant Tern,Thalasseus elegans,https://birda.twic.pics/species/5d0b0380-70a7-4514-930b-c6c406891569/reference_images/Elegant_Turn-_Breeding.jpg
Franklin's Gull,Leucophaeus pipixcan,https://birda.twic.pics/species/849f974f-ae6a-414b-9179-caf1527aa746/reference_images/Franklins_Gull_-_Adult_Breeding.jpg
Greater Crested Tern,Thalasseus bergii,https://birda.twic.pics/species/068038ed-ac06-4b89-81e2-c36edc5d665d/reference_images/Greater_Crested_Tern.jpg
Grey-headed Gull,Chroicocephalus cirrocephalus,https://birda.twic.pics/species/a717001d-b2e1-425e-a544-f62f71a294f3/reference_images/Grey-hooded_Gull.jpg
Gull-billed Tern,Gelochelidon nilotica,https://birda.twic.pics/species/dbdff180-1160-45e5-bacf-cf5f58797bf5/reference_images/Gull-billed_Tern_-_Adult_-_Summer.jpg
Hartlaub's Gull,Chroicocephalus hartlaubii,https://birda.twic.pics/species/82c2cc7e-da3f-4062-acea-983c25332952/reference_images/Hartlaubs_Gull.jpg
Kelp Gull,Larus dominicanus,https://birda.twic.pics/species/f5173677-357e-40e5-9ce0-9f46f51a031b/reference_images/Kelp_Gull.jpg
Kittiwake,Rissa tridactyla,https://birda.twic.pics/species/6bc54601-df53-4722-98ab-9f5cb15c3a18/reference_images/Black-legged_Kittiwake.jpg
Lesser Black-backed Gull,Larus fuscus,https://birda.twic.pics/species/5e506f49-f932-41a5-9dfa-9ebf8a093694/reference_images/Lesser_Black-backed_Gull.jpg
Lesser Crested Tern,Thalasseus bengalensis,https://birda.twic.pics/species/8d0bf81f-faa9-41ef-8da3-e3fecd08c646/reference_images/Lesser_Crested_Tern.jpg
Lesser Noddy,Anous tenuirostris,N/A
Little Tern,Sternula albifrons,https://birda.twic.pics/species/ab05aab3-a6f0-4316-bbbd-c42d64e8ab8c/reference_images/Little_Tern_-_Summer.jpg
Roseate Tern,Sterna dougallii,https://birda.twic.pics/species/4e91e57d-5bcc-4c51-86b8-ba04da7a4a43/reference_images/Roseate_Tern.jpg
Royal Tern,Thalasseus maximus,https://birda.twic.pics/species/4dc056a1-ae1d-446f-87f7-e74b4087a17a/reference_images/Royal_Tern_-_Flying.jpg
Sabine's Gull,Xema sabini,https://birda.twic.pics/species/b26c0adf-46c7-4691-9d26-46fa0bf22f32/reference_images/Sabines_Gull.jpg
Sandwich Tern,Thalasseus sandvicensis,https://birda.twic.pics/species/4240d659-fe25-454d-a351-803635b82271/reference_images/Sandwich_Tern_-_Summer.jpg
Saunders's Tern,Sternula saundersi,https://birda.twic.pics/species/6c8f9d70-ae39-41db-9869-4e77c1dad854/reference_images/Saunderss_Tern-_Breeding.jpg
Slender-billed Gull,Chroicocephalus genei,https://birda.twic.pics/species/7b5d3e7b-c2e8-4ece-a8e0-641fc5699081/reference_images/Slender-billed_Gull.jpg
Sooty Gull,Ichthyaetus hemprichii,https://birda.twic.pics/species/54d8378c-c657-4aca-83fe-b8a122950fa5/reference_images/Sooty_Gull.jpg
Sooty Tern,Onychoprion fuscatus,https://birda.twic.pics/species/869b9f36-c13c-4813-a94f-d679d60f8e64/reference_images/Sooty_Tern-_Flying.jpg
West African Crested Tern,Thalasseus albididorsalis,https://birda.twic.pics/species/5f57d7b2-73d8-4fb7-9df1-44975239551d/reference_images/West_African_Crested_Tern-_Breedin.jpg
Whiskered Tern,Chlidonias hybrida,https://birda.twic.pics/species/2bb5eb52-1c6d-45e5-8ca6-b2b19a582190/reference_images/Whiskered_Tern.jpg
White-cheeked Tern,Sterna repressa,https://birda.twic.pics/species/e049778a-83a1-4aa6-b846-207430b0adb3/reference_images/White-cheeked_Tern-_Breeding.jpg
White Tern,Gygis alba,https://birda.twic.pics/species/4e4e4738-fa93-4c8c-991f-d0a7b5d9e232/reference_images/White_Tern.jpg
White-winged Black Tern,Chlidonias leucopterus,https://birda.twic.pics/species/6cdbab4e-5dcb-4dc0-974c-ae91cf359e6d/reference_images/White-winged_Tern_-_Summer_-_Flyin.jpg
Hamerkop,Scopus umbretta,https://birda.twic.pics/species/7799d319-b171-4b91-befe-32f8c556f2f1/reference_images/Hamerkop.jpg
Bittern,Botaurus stellaris,https://birda.twic.pics/species/5572c8b0-98f6-4af8-be4a-248e4cc8e41e/reference_images/Eurasian_Bittern.jpg
Black-headed Heron,Ardea melanocephala,https://birda.twic.pics/species/0bea2034-8e79-4e04-bcfa-3ea5286ec274/reference_images/Black-headed_Heron_-_Adult.jpg
Black Heron,Egretta ardesiaca,https://birda.twic.pics/species/5d3515d0-5a42-46f4-87d2-23c552f68b15/reference_images/Black_Heron.jpg
Cattle Egret,Bubulcus ibis,https://birda.twic.pics/species/c725be7d-193f-4fe8-8f45-d5f2b42c3b7c/reference_images/Western_Cattle_Egret_-_Adult_-_Per.jpg
Dwarf Bittern,Ixobrychus sturmii,https://birda.twic.pics/species/22070302-59f2-45c3-81d7-f826ad92faee/reference_images/Dwarf_Bittern.jpg
Goliath Heron,Ardea goliath,https://birda.twic.pics/species/b7434462-48ec-44f3-a128-45cff9713044/reference_images/Goliath_Heron.jpg
Great White Egret,Ardea alba,https://birda.twic.pics/species/7954252b-67fb-46af-a9f2-4f307e7943d3/reference_images/Great_Egret.jpg
Grey Heron,Ardea cinerea,https://birda.twic.pics/species/ae169df6-e9f6-447b-aa43-4104423bcbb9/reference_images/Grey_Heron.jpg
Intermediate Egret,Ardea intermedia,https://birda.twic.pics/species/058d42e9-71f8-4d27-8e0f-a9970344ad71/reference_images/Intermediate_Egret.jpg
Little Bittern,Ixobrychus minutus,https://birda.twic.pics/species/b98beb72-46a1-474d-8b8f-7114d59bfdbc/reference_images/Little_Bittern_-_Male.jpg
Little Blue Heron,Egretta caerulea,https://birda.twic.pics/species/158d8586-4cae-4d98-8850-c184aec60752/reference_images/Little_Blue_Heron_-_Adult.jpg
Little Egret,Egretta garzetta,https://birda.twic.pics/species/0b59c426-0d1a-44e5-b409-1abe1e7ec172/reference_images/Little_Egret.jpg
Malagasy Pond Heron,Ardeola idae,https://birda.twic.pics/species/0e58e11a-e1d0-4877-8a6d-f9b494746a9a/reference_images/Malagasy_Pond_Heron-_Breeding.jpg
Night-heron,Nycticorax nycticorax,https://birda.twic.pics/species/1414be07-e88a-4051-9855-3c25c1f9e835/reference_images/Black-crowned_Night_Heron-_New.jpg
Purple Heron,Ardea purpurea,https://birda.twic.pics/species/43025c3d-22e7-4625-a265-d4cc30012ee6/reference_images/Purple_Heron_-_Perched.jpg
Rufous-bellied Heron,Ardeola rufiventris,N/A
Slaty Egret,Egretta vinaceigula,https://birda.twic.pics/species/6e568fc6-5d01-480e-9643-96899c6af6de/reference_images/Slaty_Egret.jpg
Snowy Egret,Egretta thula,https://birda.twic.pics/species/562eee5a-dfaa-42ff-adb3-726ec2da4e2c/reference_images/Snowy_Egret.jpg
Squacco Heron,Ardeola ralloides,https://birda.twic.pics/species/00f59e2a-464d-4745-a1de-610d7cf590e5/reference_images/Squacco_Heron.jpg
Striated Heron,Butorides striata,https://birda.twic.pics/species/e12c57a1-2f02-46dd-a4ce-6a687183b62f/reference_images/Striated_Heron.jpg
Western Reef Heron,Egretta gularis,https://birda.twic.pics/species/72733967-4073-4e97-b632-5e4caafada60/reference_images/Western_Reef_Heron.jpg
White-backed Night Heron,Gorsachius leuconotus,https://birda.twic.pics/species/c4960a9f-f33f-4233-bd84-f0bda4e55012/reference_images/White-backed_Night_Heron.jpg
Brown-backed Honeybird,Prodotiscus regulus,N/A
Greater Honeyguide,Indicator indicator,N/A
Green-backed Honeybird,Prodotiscus zambesiae,N/A
Lesser Honeyguide,Indicator minor,N/A
Pallid Honeyguide,Indicator meliphilus,N/A
Scaly-throated Honeyguide,Indicator variegatus,N/A
African Hoopoe,Upupa africana,https://birda.twic.pics/species/d476e29f-c220-437d-879f-9dcec3dbea07/reference_images/African_Hoopoe.jpg
African Grey Hornbill,Lophoceros nasutus,https://birda.twic.pics/species/2f8ee81f-a0fb-4e2d-aa61-62e468d4f962/reference_images/African_Grey_Hornbill-_Male.jpg
Bradfield's Hornbill,Lophoceros bradfieldi,https://birda.twic.pics/species/efb11515-3f0b-42d3-88e3-f9bab84b25cf/reference_images/Bradfields_Hornbill.jpg
Crowned Hornbill,Lophoceros alboterminatus,https://birda.twic.pics/species/004d3af5-2c87-413b-9837-3cca2d441d57/reference_images/Crowned_Hornbill-_Male.jpg
Damara Red-billed Hornbill,Tockus damarensis,https://birda.twic.pics/species/17a9b942-37d4-4b83-9227-d45efe67c403/reference_images/Damara_Red-biled_Hornbill.jpg
Monteiro's Hornbill,Tockus monteiri,https://birda.twic.pics/species/eedc351a-ea5c-4a41-9459-7c17d7b580bd/reference_images/Monteiros_Hornbill.jpg
Silvery-cheeked Hornbill,Bycanistes brevis,https://birda.twic.pics/species/7b5feac3-4897-457d-8d63-bc842a8c7fdc/reference_images/Silvery-cheeked_Hornbill-_Male.jpg
Southern Red-billed Hornbill,Tockus rufirostris,https://birda.twic.pics/species/c11e4cf7-f914-4f71-8a9f-0258c6a67ba6/reference_images/Southern_Red-billed_Hornbill.jpg
Southern Yellow-billed Hornbill,Tockus leucomelas,https://birda.twic.pics/species/aab9ad6b-2902-4741-a26c-1e459a152cd1/reference_images/Southern_Yellow-billed_Hornbill.jpg
Trumpeter Hornbill,Bycanistes bucinator,https://birda.twic.pics/species/a0d02ba4-932a-4498-a051-fc667dcee7c2/reference_images/Trumpeter_Hornbill-_Male.jpg
Southern Hyliota,Hyliota australis,N/A
Yellow-bellied Hyliota,Hyliota flavigaster,N/A
African Sacred Ibis,Threskiornis aethiopicus,https://birda.twic.pics/species/99605d45-0bbe-400a-88d6-4ee725603108/reference_images/African_Sacred_Ibis_-_Adult.jpg
African Spoonbill,Platalea alba,https://birda.twic.pics/species/a4aa1698-1383-4293-9273-441b8a206684/reference_images/African_Spoonbill.jpg
