name,scientific,image
Bee-eater,Merops apiaster,https://birda.twic.pics/species/6e4bbd2f-276e-4108-81d8-c174e7da9907/reference_images/European_Bee-eater-_New.jpg
Blue-cheeked Bee-eater,Merops persicus,https://birda.twic.pics/species/5ed22609-a1f8-4e78-8520-943681f125db/reference_images/Blue-cheeked_Bee-eater.jpg
Böhm's Bee-eater,Merops boehmi,N/A
Little Bee-eater,Merops pusillus,https://birda.twic.pics/species/be43697b-8003-45cb-86f0-1ca3e76de6c8/reference_images/Little_Bee-eater.jpg
Northern Carmine Bee-eater,Merops nubicus,https://birda.twic.pics/species/f2654333-0592-4a78-91b8-1c1df8b7e37e/reference_images/Northern_Carmine_Bee-eater.jpg
Olive Bee-eater,Merops superciliosus,https://birda.twic.pics/species/277dc013-c712-46e4-8c17-fb6157bf3233/reference_images/Olive_Bee-eater.jpg
Southern Carmine Bee-eater,Merops nubicoides,https://birda.twic.pics/species/76420bb5-9b59-4088-8d8d-2af12f7bea07/reference_images/Southern_Carmine_Bee-eater.jpg
Swallow-tailed Bee-eater,Merops hirundineus,https://birda.twic.pics/species/9ee7119a-4106-431c-a0ea-1b6c840bf6b0/reference_images/Swallow-tailed_Bee-eater.jpg
White-fronted Bee-eater,Merops bullockoides,https://birda.twic.pics/species/4c097131-9342-44cb-a840-7bad3ca9076a/reference_images/White-fronted_Bee-eater.jpg
White-throated Bee-eater,Merops albicollis,https://birda.twic.pics/species/8fa1c9f5-0f20-405e-af83-7c69524e8b27/reference_images/White-throated_Bee-eater.jpg
African Red-eyed Bulbul,Pycnonotus nigricans,https://birda.twic.pics/species/d4d9e9df-5f1e-409b-acad-17eedbbd03b4/reference_images/African_Red-eyed_Bulbul.jpg
Cape Bulbul,Pycnonotus capensis,https://birda.twic.pics/species/7788f633-6329-407a-9c29-edfb0f0b63dc/reference_images/Cape_Bulbul.jpg
Dark-capped Bulbul,Pycnonotus tricolor,https://birda.twic.pics/species/96ddcd54-f2d0-4b3b-9010-e54c7b639b70/reference_images/Dark-capped_Bulbul_-_Adult.jpg
Lowland Tiny Greenbul,Phyllastrephus debilis,N/A
Sombre Greenbul,Andropadus importunus,https://birda.twic.pics/species/3508bdc0-4f89-448e-a958-359348c4e6cb/reference_images/Sombre_Greenbul_-_Adult.jpg
Stripe-cheeked Greenbul,Arizelocichla milanjensis,N/A
Terrestrial Brownbul,Phyllastrephus terrestris,https://birda.twic.pics/species/9b017f9e-1781-4abe-9bec-8d529c0d8528/reference_images/Terrestrial_Brownbul.jpg
Yellow-bellied Greenbul,Chlorocichla flaviventris,https://birda.twic.pics/species/0e1645e8-7a51-4b46-ac45-9a66f576c58b/reference_images/Yellow-bellied_Greenbul.jpg
