Common Name,Scientific Name
Southern Hyliota,Hyliota australis
Fairy Flycatcher,Stenostira scita
Southern Black-Tit,Melaniparus niger
Ashy Tit,Melaniparus cinerascens
Gray Tit,Melaniparus afer
African Penduline-Tit,Anthoscopus caroli
Southern Penduline-Tit,Anthoscopus minutus
Spike-heeled Lark,Chersomanes albofasciata
Short-clawed Lark,Certhilauda chuana
Karoo Long-billed Lark,Certhilauda subcoronata
Eastern Long-billed Lark,Certhilauda semitorquata
Cape Long-billed Lark,Certhilauda curvirostris
Dusky Lark,Pinarocorys nigricans
Black-eared Sparrow-Lark,Eremopterix australis
Chestnut-backed Sparrow-Lark,Eremopterix leucotis
Gray-backed Sparrow-Lark,Eremopterix verticalis
Sabota Lark,Calendulauda sabota
Fawn-colored Lark,Calendulauda africanoides
Karoo Lark,Calendulauda albescens
Red Lark,Calendulauda burra
Dune Lark,Calendulauda erythrochlamys
Karoo x Dune Lark (hybrid),Calendulauda albescens x erythrochlamys
Rudd's Lark,Heteromirafra ruddi
Monotonous Lark,Mirafra passerina
Melodious Lark,Mirafra cheniana
Flappet Lark,Amirafra rufocinnamomea
Cape Clapper Lark,Corypha apiata
Eastern Clapper Lark,Corypha fasciolata
Rufous-naped Lark,Corypha africana
Stark's Lark,Spizocorys starki
Pink-billed Lark,Spizocorys conirostris
Botha's Lark,Spizocorys fringillaris
Sclater's Lark,Spizocorys sclateri
Large-billed Lark,Galerida magnirostris
Red-capped Lark,Calandrella cinerea
Eastern Nicator,Nicator gularis
Long-billed Crombec,Sylvietta rufescens
Cape Grassbird,Sphenoeacus afer
Victorin's Warbler,Cryptillas victorini
Yellow-bellied Eremomela,Eremomela icteropygialis
Green-capped Eremomela,Eremomela scotops
Karoo Eremomela,Eremomela gregalis
Burnt-neck Eremomela,Eremomela usticollis
Namaqua Warbler,Phragmacia substriata
Stierling's Wren-Warbler,Calamonastes stierlingi
Barred Wren-Warbler,Calamonastes fasciolatus
Green-backed Camaroptera,Camaroptera brachyura
Bar-throated Apalis,Apalis thoracica
Yellow-breasted Apalis,Apalis flavida
Rudd's Apalis,Apalis ruddi
Tawny-flanked Prinia,Prinia subflava
Black-chested Prinia,Prinia flavicans
Karoo Prinia,Prinia maculosa
Drakensberg Prinia,Prinia hypoxantha
Cinnamon-breasted Warbler,Euryptila subcinnamomea
Rufous-eared Warbler,Malcorus pectoralis
Red-faced Cisticola,Cisticola erythrops
Rock-loving Cisticola,Cisticola aberrans
Rattling Cisticola,Cisticola chiniana
Tinkling Cisticola,Cisticola rufilatus
Gray-backed Cisticola,Cisticola subruficapilla
Wailing Cisticola,Cisticola lais
Rufous-winged Cisticola,Cisticola galactotes
Levaillant's Cisticola,Cisticola tinniens
Croaking Cisticola,Cisticola natalensis
Piping Cisticola,Cisticola fulvicapilla
Zitting Cisticola,Cisticola juncidis
Desert Cisticola,Cisticola aridulus
Cloud Cisticola,Cisticola textrix
Pale-crowned Cisticola,Cisticola cinnamomeus
Wing-snapping Cisticola,Cisticola ayresii
African Yellow-Warbler,Iduna natalensis
Upcher's Warbler,Hippolais languida
Olive-tree Warbler,Hippolais olivetorum
Icterine Warbler,Hippolais icterina
Sedge Warbler,Acrocephalus schoenobaenus
Marsh Warbler,Acrocephalus palustris
Common Reed Warbler,Acrocephalus scirpaceus
Lesser Swamp Warbler,Acrocephalus gracilirostris
