common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors	common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors
African Dusky Flycatcher	Muscicapa adusta	Donkervlieëvanger	https://birda.twic.pics/species/d659a365-82bf-4e0d-914f-e66299aba855/reference_images/African_Dusky_Flycatcher.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1063310-20251202_KBG_AKaramitsos_XA60_A008C050_251202CL_SLE_250HP_-3dBNORM_comb.mp3	Flycatchers	Tiny	Forest	['Brown', 'Grey', 'Buff']	African Dusky Flycatcher	Muscicapa adusta	Donkervlieëvanger	https://birda.twic.pics/species/d659a365-82bf-4e0d-914f-e66299aba855/reference_images/African_Dusky_Flycatcher.jpg	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1063310-20251202_KBG_AKaramitsos_XA60_A008C050_251202CL_SLE_250HP_-3dBNORM_comb.mp3	Flycatchers	Tiny	Forest	['Brown', 'Grey', 'Buff']
African Emerald Cuckoo	Chrysococcyx cupreus	Mooimeisie	https://cdn.sabirds.app/african-finfoot/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RANUPRSOEW/XC1042847-African-Emerald-Cuckoo.mp3	Cuckoos	Small	Forest	['Green', 'Yellow']	African Emerald Cuckoo	Chrysococcyx cupreus	Mooimeisie	https://cdn.sabirds.app/african-finfoot/1_medium.webp	https://xeno-canto.org/sounds/uploaded/RANUPRSOEW/XC1042847-African-Emerald-Cuckoo.mp3	Cuckoos	Small	Forest	['Green', 'Yellow']
African Finfoot	Podica senegalensis	Watertrapper	https://birda.twic.pics/species/b421c983-006f-4dd8-bf9b-7b9e9c6cdbe8/reference_images/African_Finfoot-_Male.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC1036489-African-finfoot-%28call%29-KainguLodge%2CKafueNP%2CZAMBIA_250827_001_Tr2.mp3	Finfoots	Large	Wetland	['Brown', 'White', 'Orange']	African Finfoot	Podica senegalensis	Watertrapper	https://birda.twic.pics/species/b421c983-006f-4dd8-bf9b-7b9e9c6cdbe8/reference_images/African_Finfoot-_Male.jpg	https://xeno-canto.org/sounds/uploaded/IIJAXHKSCC/XC1036489-African-finfoot-%28call%29-KainguLodge%2CKafueNP%2CZAMBIA_250827_001_Tr2.mp3	Finfoots	Large	Wetland	['Brown', 'White', 'Orange']
African Firefinch	Lagonosticta rubricata	Kaapse Vuurvinkie	https://cdn.sabirds.app/african-fish-eagle/1_medium.webp	https://xeno-canto.org/sounds/uploaded/DVZFGQXNVC/XC978768-DSC_4096.mp3	Firefinches	Tiny	Woodland	['Red', 'Brown', 'Pink']	African Firefinch	Lagonosticta rubricata	Kaapse Vuurvinkie	https://cdn.sabirds.app/african-fish-eagle/1_medium.webp	https://xeno-canto.org/sounds/uploaded/DVZFGQXNVC/XC978768-DSC_4096.mp3	Firefinches	Tiny	Woodland	['Red', 'Brown', 'Pink']
African Fish Eagle	Haliaeetus vocifer	Visarend	https://birda.twic.pics/species/75c4c094-a867-4a1a-b05d-4fd1e5031f84/reference_images/African_Fish_Eagle.jpg	#N/A	Eagles	Very Large	Wetland	['Brown', 'White', 'Black']	African Fish Eagle	Haliaeetus vocifer	Visarend	https://birda.twic.pics/species/75c4c094-a867-4a1a-b05d-4fd1e5031f84/reference_images/African_Fish_Eagle.jpg	#N/A	Eagles	Very Large	Wetland	['Brown', 'White', 'Black']
African Golden Oriole	Oriolus auratus	Afrikaanse Wielewaal	https://cdn.sabirds.app/african-goshawk/1_medium.webp	https://xeno-canto.org/sounds/uploaded/DUUYLLTNQS/XC1059821-Loriot-dor%C3%A9-Oriolus-auratus-Kafountine-S%C3%A9n%C3%A9gal-10-nov-25-14h00.mp3	Orioles	Medium	Woodland	['Yellow', 'Black']	African Golden Oriole	Oriolus auratus	Afrikaanse Wielewaal	https://cdn.sabirds.app/african-goshawk/1_medium.webp	https://xeno-canto.org/sounds/uploaded/DUUYLLTNQS/XC1059821-Loriot-dor%C3%A9-Oriolus-auratus-Kafountine-S%C3%A9n%C3%A9gal-10-nov-25-14h00.mp3	Orioles	Medium	Woodland	['Yellow', 'Black']
African Goshawk	Accipiter tachiro	Afrikaanse Sperwer	https://cdn.sabirds.app/african-grass-owl/1_medium.webp	#N/A	Hawks	Large	Forest	['Grey', 'White', 'Orange']	African Goshawk	Accipiter tachiro	Afrikaanse Sperwer	https://cdn.sabirds.app/african-grass-owl/1_medium.webp	#N/A	Hawks	Large	Forest	['Grey', 'White', 'Orange']
African Grass Owl	Tyto capensis	Grasuil	https://cdn.sabirds.app/african-green-pigeon/1_medium.webp	https://xeno-canto.org/sounds/uploaded/VROUALCTKG/XC699551-Grass%20Owl%20%28call%2C%20ZM%2C%20Mutinondo%2C%20211219_008%29.mp3	Owls	Large	Grassland	['Brown', 'White', 'Buff']	African Grass Owl	Tyto capensis	Grasuil	https://cdn.sabirds.app/african-green-pigeon/1_medium.webp	https://xeno-canto.org/sounds/uploaded/VROUALCTKG/XC699551-Grass%20Owl%20%28call%2C%20ZM%2C%20Mutinondo%2C%20211219_008%29.mp3	Owls	Large	Grassland	['Brown', 'White', 'Buff']
African Green Pigeon	Treron calvus	Papegaaiduif	https://birda.twic.pics/species/775775e9-1cc7-4e8d-b9ae-516fba1d8133/reference_images/African_Green_Pigeon.jpg	https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC1004434-Pigeon_African-Green2_M6MKH-672_Kafue_Mushingashi_Creek_Dawn_27thAug23.mp3	Pigeons	Medium	Forest	['Green', 'Yellow', 'Purple']	African Green Pigeon	Treron calvus	Papegaaiduif	https://birda.twic.pics/species/775775e9-1cc7-4e8d-b9ae-516fba1d8133/reference_images/African_Green_Pigeon.jpg	https://xeno-canto.org/sounds/uploaded/EHGWCIGILC/XC1004434-Pigeon_African-Green2_M6MKH-672_Kafue_Mushingashi_Creek_Dawn_27thAug23.mp3	Pigeons	Medium	Forest	['Green', 'Yellow', 'Purple']
African Grey Hornbill	Lophoceros nasutus	Grysneushoringvoël	https://birda.twic.pics/species/2f8ee81f-a0fb-4e2d-aa61-62e468d4f962/reference_images/African_Grey_Hornbill-_Male.jpg	https://xeno-canto.org/sounds/uploaded/ARLUKQJGIF/XC996194-hornbill.mp3	Hornbills	Medium	Fynbos	['Grey', 'Black', 'White']	African Grey Hornbill	Lophoceros nasutus	Grysneushoringvoël	https://birda.twic.pics/species/2f8ee81f-a0fb-4e2d-aa61-62e468d4f962/reference_images/African_Grey_Hornbill-_Male.jpg	https://xeno-canto.org/sounds/uploaded/ARLUKQJGIF/XC996194-hornbill.mp3	Hornbills	Medium	Fynbos	['Grey', 'Black', 'White']
