common_name,scientific_name,family
Jackal Buzzard,Buteo rufofuscus,"Accipitridae (Hawks, Eagles)"
Eurasian Buzzard,Buteo buteo,"Accipitridae (Hawks, Eagles)"
Forest Buzzard,Buteo trizonatus,"Accipitridae (Hawks, Eagles)"
Speckled Mousebird,Colius striatus,Coliidae (Mousebirds)
White-backed Mousebird,Colius colius,Coliidae (Mousebirds)
Red-faced Mousebird,Urocolius indicus,Coliidae (Mousebirds)
Narina Trogon,Apaloderma narina,Trogonidae (Trogons)
Southern Ground-hornbill,Bucorvus leadbeateri,Bucerotidae (Hornbills)
African Grey Hornbill,Lophoceros nasutus,Bucerotidae (Hornbills)
Crowned Hornbill,Lophoceros alboterminatus,Bucerotidae (Hornbills)
Southern Yellow-billed Hornbill,Tockus leucomelas,Bucerotidae (Hornbills)
Red-billed Hornbill,Tockus erythrorhynchus,Bucerotidae (Hornbills)
Silvery-cheeked Hornbill,Bycanistes brevis,Bucerotidae (Hornbills)
Trumpeter Hornbill,Bycanistes bucinator,Bucerotidae (Hornbills)
Common Hoopoe,Upupa epops,Upupidae (Hoopoes)
Green Woodhoopoe,Phoeniculus purpureus,Phoeniculidae (Woodhoopoes)
Common Scimitarbill,Rhinopomastus cyanomelas,Phoeniculidae (Woodhoopoes)
White-fronted Bee-eater,Merops bullockoides,Meropidae (Bee-eaters)
Southern Carmine Bee-eater,Merops nubicoides,Meropidae (Bee-eaters)
Blue-cheeked Bee-eater,Merops persicus,Meropidae (Bee-eaters)
European Bee-eater,Merops apiaster,Meropidae (Bee-eaters)
Swallow-tailed Bee-eater,Merops hirundineus,Meropidae (Bee-eaters)
Little Bee-eater,Merops pusillus,Meropidae (Bee-eaters)
Purple Roller,Coracias naevius,Coraciidae (Rollers)
Racquet-tailed Roller,Coracias spatulatus,Coraciidae (Rollers)
Lilac-breasted Roller,Coracias caudatus,Coraciidae (Rollers)
European Roller,Coracias garrulus,Coraciidae (Rollers)
Broad-billed Roller,Eurystomus glaucurus,Coraciidae (Rollers)
African Pygmy-kingfisher,Ispidina picta,Alcedinidae (Kingfishers)
Malachite Kingfisher,Corythornis cristatus,Alcedinidae (Kingfishers)
Half-collared Kingfisher,Alcedo semitorquata,Alcedinidae (Kingfishers)
Giant Kingfisher,Megaceryle maxima,Alcedinidae (Kingfishers)
Pied Kingfisher,Ceryle rudis,Alcedinidae (Kingfishers)
Grey-headed Kingfisher,Halcyon leucocephala,Alcedinidae (Kingfishers)
Brown-hooded Kingfisher,Halcyon albiventris,Alcedinidae (Kingfishers)
Striped Kingfisher,Halcyon chelicuti,Alcedinidae (Kingfishers)
Woodland Kingfisher,Halcyon senegalensis,Alcedinidae (Kingfishers)
Mangrove Kingfisher,Halcyon senegaloides,Alcedinidae (Kingfishers)
Crested Barbet,Trachyphonus vaillantii,Lybiidae (African barbets)
Green Barbet,Cryptolybia olivacea,Lybiidae (African barbets)
White-eared Barbet,Stactolaema leucotis,Lybiidae (African barbets)
Yellow-rumped Tinkerbird,Pogoniulus bilineatus,Lybiidae (African barbets)
Red-fronted Tinkerbird,Pogoniulus pusillus,Lybiidae (African barbets)
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Lybiidae (African barbets)
Acacia Pied Barbet,Tricholaema leucomelas,Lybiidae (African barbets)
Black-collared Barbet,Lybius torquatus,Lybiidae (African barbets)
Brown-backed Honeybird,Prodotiscus regulus,Indicatoridae (Honeyguides)
Lesser Honeyguide,Indicator minor,Indicatoridae (Honeyguides)
Scaly-throated Honeyguide,Indicator variegatus,Indicatoridae (Honeyguides)
Greater Honeyguide,Indicator indicator,Indicatoridae (Honeyguides)
Rufous-necked Wryneck,Jynx ruficollis,Picidae (Woodpeckers)
Ground Woodpecker,Geocolaptes olivaceus,Picidae (Woodpeckers)
Bennett's Woodpecker,Campethera bennettii,Picidae (Woodpeckers)
Golden-tailed Woodpecker,Campethera abingoni,Picidae (Woodpeckers)
Knysna Woodpecker,Campethera notata,Picidae (Woodpeckers)
Cardinal Woodpecker,Dendropicos fuscescens,Picidae (Woodpeckers)
Bearded Woodpecker,Dendropicos namaquus,Picidae (Woodpeckers)
Olive Woodpecker,Dendropicos griseocephalus,Picidae (Woodpeckers)
African Pygmy-falcon,Polihierax semitorquatus,"Falconidae (Falcons, Caracaras)"
Lesser Kestrel,Falco naumanni,"Falconidae (Falcons, Caracaras)"
Common Kestrel,Falco tinnunculus,"Falconidae (Falcons, Caracaras)"
Greater Kestrel,Falco rupicoloides,"Falconidae (Falcons, Caracaras)"
Dickinson's Kestrel,Falco dickinsoni,"Falconidae (Falcons, Caracaras)"
Red-necked Falcon,Falco ruficollis,"Falconidae (Falcons, Caracaras)"
Red-footed Falcon,Falco vespertinus,"Falconidae (Falcons, Caracaras)"
Amur Falcon,Falco amurensis,"Falconidae (Falcons, Caracaras)"
Sooty Falcon,Falco concolor,"Falconidae (Falcons, Caracaras)"
Eurasian Hobby,Falco subbuteo,"Falconidae (Falcons, Caracaras)"
African Hobby,Falco cuvierii,"Falconidae (Falcons, Caracaras)"
Lanner Falcon,Falco biarmicus,"Falconidae (Falcons, Caracaras)"
Peregrine Falcon,Falco peregrinus,"Falconidae (Falcons, Caracaras)"
Taita Falcon,Falco fasciinucha,"Falconidae (Falcons, Caracaras)"
Cape Parrot,Poicephalus robustus,Psittacidae (Parrots)
Brown-necked Parrot,Poicephalus fuscicollis,Psittacidae (Parrots)
Brown Parrot,Poicephalus meyeri,Psittacidae (Parrots)
Brown-headed Parrot,Poicephalus cryptoxanthus,Psittacidae (Parrots)
Rosy-faced Lovebird,Agapornis roseicollis,Psittacidae (Parrots)
African Broadbill,Smithornis capensis,Calyptomenidae (African and green broadbills)
Eastern Black-headed Oriole,Oriolus larvatus,Oriolidae (Old World Orioles)
Eurasian Golden Oriole,Oriolus oriolus,Oriolidae (Old World Orioles)
African Golden Oriole,Oriolus auratus,Oriolidae (Old World Orioles)
White-breasted Cuckooshrike,Ceblepyris pectoralis,Campephagidae (Cuckooshrikes)
Grey Cuckooshrike,Ceblepyris caesius,Campephagidae (Cuckooshrikes)
Black Cuckooshrike,Campephaga flava,Campephagidae (Cuckooshrikes)
White-crested Helmetshrike,Prionops plumatus,Vangidae (Vangas and allies)
Retz's Helmetshrike,Prionops retzii,Vangidae (Vangas and allies)
Cape Batis,Batis capensis,Platysteiridae (Batises and Wattle-eyes)
Woodwards' Batis,Batis fratrum,Platysteiridae (Batises and Wattle-eyes)
Chinspot Batis,Batis molitor,Platysteiridae (Batises and Wattle-eyes)
Pririt Batis,Batis pririt,Platysteiridae (Batises and Wattle-eyes)
Black-throated Wattle-eye,Platysteira peltata,Platysteiridae (Batises and Wattle-eyes)
Grey-headed Bushshrike,Malaconotus blanchoti,Malaconotidae (Bush-shrikes)
Black-backed Puffback,Dryoscopus cubla,Malaconotidae (Bush-shrikes)
Brown-crowned Tchagra,Tchagra australis,Malaconotidae (Bush-shrikes)
Southern Tchagra,Tchagra tchagra,Malaconotidae (Bush-shrikes)
Black-crowned Tchagra,Tchagra senegalus,Malaconotidae (Bush-shrikes)
Brubru,Nilaus afer,Malaconotidae (Bush-shrikes)
Black-fronted Bushshrike,Chlorophoneus nigrifrons,Malaconotidae (Bush-shrikes)
Olive Bushshrike,Chlorophoneus olivaceus,Malaconotidae (Bush-shrikes)
Orange-breasted Bushshrike,Chlorophoneus sulfureopectus,Malaconotidae (Bush-shrikes)
Tropical Boubou,Laniarius aethiopicus,Malaconotidae (Bush-shrikes)
Southern Boubou,Laniarius ferrugineus,Malaconotidae (Bush-shrikes)
Crimson-breasted Gonolek,Laniarius atrococcineus,Malaconotidae (Bush-shrikes)
Bokmakierie,Telophorus zeylonus,Malaconotidae (Bush-shrikes)
Gorgeous Bushshrike,Telophorus viridis,Malaconotidae (Bush-shrikes)
Square-tailed Drongo,Dicrurus ludwigii,Dicruridae (Drongos)
Fork-tailed Drongo,Dicrurus adsimilis,Dicruridae (Drongos)
Eastern Crested-flycatcher,Trochocercus bivittatus,Monarchidae (Monarch-flycatchers)
Southern Crested-flycatcher,Trochocercus cyanomelas,Monarchidae (Monarch-flycatchers)
African Paradise-flycatcher,Terpsiphone viridis,Monarchidae (Monarch-flycatchers)
Southern White-crowned Shrike,Eurocephalus anguitimens,Laniidae (Shrikes)
Red-backed Shrike,Lanius collurio,Laniidae (Shrikes)
Lesser Grey Shrike,Lanius minor,Laniidae (Shrikes)
Magpie Shrike,Lanius melanoleucus,Laniidae (Shrikes)
Common Fiscal,Lanius collaris,Laniidae (Shrikes)
Cape Crow,Corvus capensis,Corvidae (Crows and jays)
White-necked Raven,Corvus albicollis,Corvidae (Crows and jays)
Pied Crow,Corvus albus,Corvidae (Crows and jays)
Cape Rockjumper,Chaetops frenatus,Chaetopidae (Rockjumpers)
Drakensberg Rockjumper,Chaetops aurantius,Chaetopidae (Rockjumpers)
Southern Hyliota,Hyliota australis,Hyliotidae (Hyliotas)
Fairy Flycatcher,Stenostira scita,Stenostiridae (Fairy Flycatcher and allies)
Southern Black Tit,Melaniparus niger,Paridae (Tits and chickadees)
Grey Tit,Melaniparus afer,Paridae (Tits and chickadees)
Ashy Tit,Melaniparus cinerascens,Paridae (Tits and chickadees)
Grey Penduline-tit,Anthoscopus caroli,Remizidae (Penduline-tits)
Cape Penduline-tit,Anthoscopus minutus,Remizidae (Penduline-tits)
Spike-heeled Lark,Chersomanes albofasciata,Alaudidae (Larks)
Short-clawed Lark,Certhilauda chuana,Alaudidae (Larks)
Karoo Long-billed Lark,Certhilauda subcoronata,Alaudidae (Larks)
Cape Long-billed Lark,Certhilauda curvirostris,Alaudidae (Larks)
Eastern Long-billed Lark,Certhilauda semitorquata,Alaudidae (Larks)
Dusky Lark,Pinarocorys nigricans,Alaudidae (Larks)
Black-eared Sparrow-lark,Eremopterix australis,Alaudidae (Larks)
Chestnut-backed Sparrow-lark,Eremopterix leucotis,Alaudidae (Larks)
Grey-backed Sparrow-lark,Eremopterix verticalis,Alaudidae (Larks)
Sabota Lark,Calendulauda sabota,Alaudidae (Larks)
Fawn-coloured Lark,Calendulauda africanoides,Alaudidae (Larks)
Karoo Lark,Calendulauda albescens,Alaudidae (Larks)
Red Lark,Calendulauda burra,Alaudidae (Larks)
Rudd's Lark,Heteromirafra ruddi,Alaudidae (Larks)
Cape Clapper Lark,Mirafra apiata,Alaudidae (Larks)
Eastern Clapper Lark,Mirafra fasciolata,Alaudidae (Larks)
Rufous-naped Lark,Mirafra africana,Alaudidae (Larks)
Flappet Lark,Mirafra rufocinnamomea,Alaudidae (Larks)
Monotonous Lark,Mirafra passerina,Alaudidae (Larks)
Melodious Lark,Mirafra cheniana,Alaudidae (Larks)
Red-capped Lark,Calandrella cinerea,Alaudidae (Larks)
Sclater's Lark,Spizocorys sclateri,Alaudidae (Larks)
Stark's Lark,Spizocorys starki,Alaudidae (Larks)
Botha's Lark,Spizocorys fringillaris,Alaudidae (Larks)
Pink-billed Lark,Spizocorys conirostris,Alaudidae (Larks)
Large-billed Lark,Galerida magnirostris,Alaudidae (Larks)
Eastern Nicator,Nicator gularis,Nicatoridae (Nicators)
Long-billed Crombec,Sylvietta rufescens,Macrosphenidae (Crombecs and allies)
Victorin's Warbler,Cryptillas victorini,Macrosphenidae (Crombecs and allies)
Cape Grassbird,Sphenoeacus afer,Macrosphenidae (Crombecs and allies)
Yellow-bellied Eremomela,Eremomela icteropygialis,Cisticolidae (Cisticolas and allies)
Green-capped Eremomela,Eremomela scotops,Cisticolidae (Cisticolas and allies)
Karoo Eremomela,Eremomela gregalis,Cisticolidae (Cisticolas and allies)
Burnt-necked Eremomela,Eremomela usticollis,Cisticolidae (Cisticolas and allies)
Namaqua Warbler,Phragmacia substriata,Cisticolidae (Cisticolas and allies)
Bar-throated Apalis,Apalis thoracica,Cisticolidae (Cisticolas and allies)
Rudd's Apalis,Apalis ruddi,Cisticolidae (Cisticolas and allies)
Yellow-breasted Apalis,Apalis flavida,Cisticolidae (Cisticolas and allies)
Stierling's Wren-warbler,Calamonastes stierlingi,Cisticolidae (Cisticolas and allies)
Barred Wren-warbler,Calamonastes fasciolatus,Cisticolidae (Cisticolas and allies)
Bleating Camaroptera,Camaroptera brachyura,Cisticolidae (Cisticolas and allies)
Cinnamon-breasted Warbler,Euryptila subcinnamomea,Cisticolidae (Cisticolas and allies)
Rufous-eared Warbler,Malcorus pectoralis,Cisticolidae (Cisticolas and allies)
Red-faced Cisticola,Cisticola erythrops,Cisticolidae (Cisticolas and allies)
Lazy Cisticola,Cisticola aberrans,Cisticolidae (Cisticolas and allies)
Rattling Cisticola,Cisticola chiniana,Cisticolidae (Cisticolas and allies)
Tinkling Cisticola,Cisticola rufilatus,Cisticolidae (Cisticolas and allies)
Grey-backed Cisticola,Cisticola subruficapilla,Cisticolidae (Cisticolas and allies)
Wailing Cisticola,Cisticola lais,Cisticolidae (Cisticolas and allies)
Rufous-winged Cisticola,Cisticola galactotes,Cisticolidae (Cisticolas and allies)
Levaillant's Cisticola,Cisticola tinniens,Cisticolidae (Cisticolas and allies)
Croaking Cisticola,Cisticola natalensis,Cisticolidae (Cisticolas and allies)
Neddicky,Cisticola fulvicapilla,Cisticolidae (Cisticolas and allies)
Zitting Cisticola,Cisticola juncidis,Cisticolidae (Cisticolas and allies)
Desert Cisticola,Cisticola aridulus,Cisticolidae (Cisticolas and allies)
Cloud Cisticola,Cisticola textrix,Cisticolidae (Cisticolas and allies)
Pale-crowned Cisticola,Cisticola cinnamomeus,Cisticolidae (Cisticolas and allies)
Wing-snapping Cisticola,Cisticola ayresii,Cisticolidae (Cisticolas and allies)
Tawny-flanked Prinia,Prinia subflava,Cisticolidae (Cisticolas and allies)
Black-chested Prinia,Prinia flavicans,Cisticolidae (Cisticolas and allies)
Karoo Prinia,Prinia maculosa,Cisticolidae (Cisticolas and allies)
Drakensberg Prinia,Prinia hypoxantha,Cisticolidae (Cisticolas and allies)
African Yellow Warbler,Iduna natalensis,Acrocephalidae (Reed-warblers)
Olive-tree Warbler,Hippolais olivetorum,Acrocephalidae (Reed-warblers)
Icterine Warbler,Hippolais icterina,Acrocephalidae (Reed-warblers)
Sedge Warbler,Acrocephalus schoenobaenus,Acrocephalidae (Reed-warblers)
Marsh Warbler,Acrocephalus palustris,Acrocephalidae (Reed-warblers)
Common Reed-warbler,Acrocephalus scirpaceus,Acrocephalidae (Reed-warblers)
Lesser Swamp-warbler,Acrocephalus gracilirostris,Acrocephalidae (Reed-warblers)
Great Reed-warbler,Acrocephalus arundinaceus,Acrocephalidae (Reed-warblers)
River Warbler,Locustella fluviatilis,Locustellidae (Grasshopper-warblers and grassbirds)
Fan-tailed Grassbird,Catriscus brevirostris,Locustellidae (Grasshopper-warblers and grassbirds)
Knysna Warbler,Bradypterus sylvaticus,Locustellidae (Grasshopper-warblers and grassbirds)
Little Rush-warbler,Bradypterus baboecala,Locustellidae (Grasshopper-warblers and grassbirds)
Barratt's Warbler,Bradypterus barratti,Locustellidae (Grasshopper-warblers and grassbirds)
Grey-rumped Swallow,Pseudhirundo griseopyga,Hirundinidae (Swallows and martins)
Black Saw-wing,Psalidoprocne pristoptera,Hirundinidae (Swallows and martins)
Northern House Martin,Delichon urbicum,Hirundinidae (Swallows and martins)
South African Swallow,Petrochelidon spilodera,Hirundinidae (Swallows and martins)
Lesser Striped Swallow,Cecropis abyssinica,Hirundinidae (Swallows and martins)
Rufous-chested Swallow,Cecropis semirufa,Hirundinidae (Swallows and martins)
Mosque Swallow,Cecropis senegalensis,Hirundinidae (Swallows and martins)
Greater Striped Swallow,Cecropis cucullata,Hirundinidae (Swallows and martins)
Blue Swallow,Hirundo atrocaerulea,Hirundinidae (Swallows and martins)
White-throated Swallow,Hirundo albigularis,Hirundinidae (Swallows and martins)
Wire-tailed Swallow,Hirundo smithii,Hirundinidae (Swallows and martins)
Barn Swallow,Hirundo rustica,Hirundinidae (Swallows and martins)
Pearl-breasted Swallow,Hirundo dimidiata,Hirundinidae (Swallows and martins)
Large Rock Martin,Ptyonoprogne fuligula,Hirundinidae (Swallows and martins)
Banded Martin,Neophedina cincta,Hirundinidae (Swallows and martins)
African Plain Martin,Riparia paludicola,Hirundinidae (Swallows and martins)
Collared Sand Martin,Riparia riparia,Hirundinidae (Swallows and martins)
Sombre Greenbul,Andropadus importunus,Pycnonotidae (Bulbuls)
Yellow-bellied Greenbul,Chlorocichla flaviventris,Pycnonotidae (Bulbuls)
Terrestrial Brownbul,Phyllastrephus terrestris,Pycnonotidae (Bulbuls)
Yellow-streaked Greenbul,Phyllastrephus flavostriatus,Pycnonotidae (Bulbuls)
Black-fronted Bulbul,Pycnonotus nigricans,Pycnonotidae (Bulbuls)
Cape Bulbul,Pycnonotus capensis,Pycnonotidae (Bulbuls)
Common Bulbul,Pycnonotus barbatus,Pycnonotidae (Bulbuls)
Willow Warbler,Phylloscopus trochilus,Phylloscopidae (Leaf-warblers)
Yellow-throated Woodland-warbler,Phylloscopus ruficapilla,Phylloscopidae (Leaf-warblers)
Garden Warbler,Sylvia borin,Sylviidae (Old World Warblers)
Bush Blackcap,Sylvia nigricapillus,Sylviidae (Old World Warblers)
Layard's Warbler,Curruca layardi,Sylviidae (Old World Warblers)
Chestnut-vented Warbler,Curruca subcoerulea,Sylviidae (Old World Warblers)
Common Whitethroat,Curruca communis,Sylviidae (Old World Warblers)
African Yellow White-eye,Zosterops senegalensis,Zosteropidae (White-eyes and Yuhinas)
Cape White-eye,Zosterops virens,Zosteropidae (White-eyes and Yuhinas)
Orange River White-eye,Zosterops pallidus,Zosteropidae (White-eyes and Yuhinas)
Arrow-marked Babbler,Turdoides jardineii,Leiotrichidae (Laughingthrushes and allies)
Southern Pied Babbler,Turdoides bicolor,Leiotrichidae (Laughingthrushes and allies)
Red-billed Oxpecker,Buphagus erythrorynchus,Buphagidae (Oxpeckers)
Yellow-billed Oxpecker,Buphagus africanus,Buphagidae (Oxpeckers)
Wattled Starling,Creatophora cinerea,Sturnidae (Starlings)
Pale-winged Starling,Onychognathus nabouroup,Sturnidae (Starlings)
Red-winged Starling,Onychognathus morio,Sturnidae (Starlings)
Burchell's Starling,Lamprotornis australis,Sturnidae (Starlings)
Benguela Long-tailed Starling,Lamprotornis benguelensis,Sturnidae (Starlings)
Meves's Long-tailed Starling,Lamprotornis mevesii,Sturnidae (Starlings)
African Pied Starling,Lamprotornis bicolor,Sturnidae (Starlings)
Lesser Blue-eared Starling,Lamprotornis chloropterus,Sturnidae (Starlings)
Cape Starling,Lamprotornis nitens,Sturnidae (Starlings)
Greater Blue-eared Starling,Lamprotornis chalybaeus,Sturnidae (Starlings)
Violet-backed Starling,Cinnyricinclus leucogaster,Sturnidae (Starlings)
Black-bellied Starling,Notopholia corusca,Sturnidae (Starlings)
Spotted Ground-thrush,Geokichla guttata,Turdidae (Thrushes)
Orange Ground-thrush,Geokichla gurneyi,Turdidae (Thrushes)
Groundscraper Thrush,Psophocichla litsitsirupa,Turdidae (Thrushes)
Kurrichane Thrush,Turdus libonyana,Turdidae (Thrushes)
Olive Thrush,Turdus olivaceus,Turdidae (Thrushes)
Karoo Thrush,Turdus smithi,Turdidae (Thrushes)
Karoo Scrub-robin,Tychaedon coryphoeus,Muscicapidae (Old World Flycatchers and Chats)
Brown Scrub-robin,Tychaedon signata,Muscicapidae (Old World Flycatchers and Chats)
Bearded Scrub-robin,Tychaedon quadrivirgata,Muscicapidae (Old World Flycatchers and Chats)
Kalahari Scrub-robin,Cercotrichas paena,Muscicapidae (Old World Flycatchers and Chats)
White-browed Scrub-robin,Cercotrichas leucophrys,Muscicapidae (Old World Flycatchers and Chats)
African Dusky Flycatcher,Muscicapa adusta,Muscicapidae (Old World Flycatchers and Chats)
Spotted Flycatcher,Muscicapa striata,Muscicapidae (Old World Flycatchers and Chats)
Marico Flycatcher,Bradornis mariquensis,Muscicapidae (Old World Flycatchers and Chats)
Pale Flycatcher,Agricola pallidus,Muscicapidae (Old World Flycatchers and Chats)
Chat-flycatcher,Agricola infuscatus,Muscicapidae (Old World Flycatchers and Chats)
Grey Tit-flycatcher,Fraseria plumbea,Muscicapidae (Old World Flycatchers and Chats)
Ashy Flycatcher,Fraseria caerulescens,Muscicapidae (Old World Flycatchers and Chats)
Fiscal Flycatcher,Sigelus silens,Muscicapidae (Old World Flycatchers and Chats)
Southern Black-flycatcher,Melaenornis pammelaina,Muscicapidae (Old World Flycatchers and Chats)
Cape Robin-chat,Dessonornis caffer,Muscicapidae (Old World Flycatchers and Chats)
White-throated Robin-chat,Dessonornis humeralis,Muscicapidae (Old World Flycatchers and Chats)
White-starred Robin,Pogonocichla stellata,Muscicapidae (Old World Flycatchers and Chats)
White-browed Robin-chat,Cossypha heuglini,Muscicapidae (Old World Flycatchers and Chats)
Red-capped Robin-chat,Cossypha natalensis,Muscicapidae (Old World Flycatchers and Chats)
Chorister Robin-chat,Cossypha dichroa,Muscicapidae (Old World Flycatchers and Chats)
Collared Palm-thrush,Cichladusa arquata,Muscicapidae (Old World Flycatchers and Chats)
Thrush Nightingale,Luscinia luscinia,Muscicapidae (Old World Flycatchers and Chats)
Collared Flycatcher,Ficedula albicollis,Muscicapidae (Old World Flycatchers and Chats)
Short-toed Rock-thrush,Monticola brevipes,Muscicapidae (Old World Flycatchers and Chats)
Sentinel Rock-thrush,Monticola explorator,Muscicapidae (Old World Flycatchers and Chats)
Cape Rock-thrush,Monticola rupestris,Muscicapidae (Old World Flycatchers and Chats)
Whinchat,Saxicola rubetra,Muscicapidae (Old World Flycatchers and Chats)
Common Stonechat,Saxicola torquatus,Muscicapidae (Old World Flycatchers and Chats)
Buff-streaked Chat,Campicoloides bifasciatus,Muscicapidae (Old World Flycatchers and Chats)
Karoo Chat,Emarginata schlegelii,Muscicapidae (Old World Flycatchers and Chats)
Sickle-winged Chat,Emarginata sinuata,Muscicapidae (Old World Flycatchers and Chats)
Tractrac Chat,Emarginata tractrac,Muscicapidae (Old World Flycatchers and Chats)
Mocking Cliff-chat,Thamnolaea cinnamomeiventris,Muscicapidae (Old World Flycatchers and Chats)
Southern Anteater Chat,Myrmecocichla formicivora,Muscicapidae (Old World Flycatchers and Chats)
Mountain Chat,Myrmecocichla monticola,Muscicapidae (Old World Flycatchers and Chats)
Arnot's Chat,Myrmecocichla arnotti,Muscicapidae (Old World Flycatchers and Chats)
Capped Wheatear,Oenanthe pileata,Muscicapidae (Old World Flycatchers and Chats)
Familiar Chat,Oenanthe familiaris,Muscicapidae (Old World Flycatchers and Chats)
Cape Sugarbird,Promerops cafer,Promeropidae (Sugarbirds)
Gurney's Sugarbird,Promerops gurneyi,Promeropidae (Sugarbirds)
Plain-backed Sunbird,Anthreptes reichenowi,Nectariniidae (Sunbirds)
Collared Sunbird,Hedydipna collaris,Nectariniidae (Sunbirds)
Orange-breasted Sunbird,Anthobaphes violacea,Nectariniidae (Sunbirds)
Olive Sunbird,Cyanomitra olivacea,Nectariniidae (Sunbirds)
Mouse-coloured Sunbird,Cyanomitra verreauxii,Nectariniidae (Sunbirds)
Amethyst Sunbird,Chalcomitra amethystina,Nectariniidae (Sunbirds)
Scarlet-chested Sunbird,Chalcomitra senegalensis,Nectariniidae (Sunbirds)
Malachite Sunbird,Nectarinia famosa,Nectariniidae (Sunbirds)
Southern Double-collared Sunbird,Cinnyris chalybeus,Nectariniidae (Sunbirds)
Neergaard's Sunbird,Cinnyris neergaardi,Nectariniidae (Sunbirds)
Greater Double-collared Sunbird,Cinnyris afer,Nectariniidae (Sunbirds)
Marico Sunbird,Cinnyris mariquensis,Nectariniidae (Sunbirds)
Purple-banded Sunbird,Cinnyris bifasciatus,Nectariniidae (Sunbirds)
White-breasted Sunbird,Cinnyris talatala,Nectariniidae (Sunbirds)
Dusky Sunbird,Cinnyris fuscus,Nectariniidae (Sunbirds)
Red-billed Buffalo-Weaver,Bubalornis niger,Ploceidae (Weavers)
White-browed Sparrow-Weaver,Plocepasser mahali,Ploceidae (Weavers)
Scaly-fronted Weaver,Sporopipes squamifrons,Ploceidae (Weavers)
Sociable Weaver,Philetairus socius,Ploceidae (Weavers)
Thick-billed Weaver,Amblyospiza albifrons,Ploceidae (Weavers)
Red-headed Quelea,Quelea erythrops,Ploceidae (Weavers)
Red-billed Quelea,Quelea quelea,Ploceidae (Weavers)
Yellow-crowned Bishop,Euplectes afer,Ploceidae (Weavers)
Southern Red Bishop,Euplectes orix,Ploceidae (Weavers)
Red-collared Widowbird,Euplectes ardens,Ploceidae (Weavers)
Yellow Bishop,Euplectes capensis,Ploceidae (Weavers)
Fan-tailed Widowbird,Euplectes axillaris,Ploceidae (Weavers)
White-winged Widowbird,Euplectes albonotatus,Ploceidae (Weavers)
Long-tailed Widowbird,Euplectes progne,Ploceidae (Weavers)
Spectacled Weaver,Ploceus ocularis,Ploceidae (Weavers)
Cape Weaver,Ploceus capensis,Ploceidae (Weavers)
African Golden Weaver,Ploceus subaureus,Ploceidae (Weavers)
Holub's Golden Weaver,Ploceus xanthops,Ploceidae (Weavers)
Southern Brown-throated Weaver,Ploceus xanthopterus,Ploceidae (Weavers)
Lesser Masked Weaver,Ploceus intermedius,Ploceidae (Weavers)
Southern Masked Weaver,Ploceus velatus,Ploceidae (Weavers)
Village Weaver,Ploceus cucullatus,Ploceidae (Weavers)
Dark-backed Weaver,Ploceus bicolor,Ploceidae (Weavers)
Southern Red-headed Weaver,Anaplectes rubriceps,Ploceidae (Weavers)
Red-billed Firefinch,Lagonosticta senegala,Estrildidae (Waxbills)
Jameson's Firefinch,Lagonosticta rhodopareia,Estrildidae (Waxbills)
African Firefinch,Lagonosticta rubricata,Estrildidae (Waxbills)
Orange-winged Pytilia,Pytilia afra,Estrildidae (Waxbills)
Green-winged Pytilia,Pytilia melba,Estrildidae (Waxbills)
Pink-throated Twinspot,Hypargos margaritatus,Estrildidae (Waxbills)
Red-throated Twinspot,Hypargos niveoguttatus,Estrildidae (Waxbills)
Violet-eared Waxbill,Granatina granatina,Estrildidae (Waxbills)
Blue-breasted Cordon-bleu,Uraeginthus angolensis,Estrildidae (Waxbills)
Black-tailed Waxbill,Glaucestrilda perreini,Estrildidae (Waxbills)
Common Waxbill,Estrilda astrild,Estrildidae (Waxbills)
Black-faced Waxbill,Brunhilda erythronotos,Estrildidae (Waxbills)
Green Twinspot,Mandingoa nitidula,Estrildidae (Waxbills)
Swee Waxbill,Coccopygia melanotis,Estrildidae (Waxbills)
Red-headed Finch,Amadina erythrocephala,Estrildidae (Waxbills)
Cut-throat Finch,Amadina fasciata,Estrildidae (Waxbills)
African Quailfinch,Ortygospiza atricollis,Estrildidae (Waxbills)
Zebra Waxbill,Amandava subflava,Estrildidae (Waxbills)
Bronze Mannikin,Spermestes cucullata,Estrildidae (Waxbills)
Magpie Mannikin,Spermestes fringilloides,Estrildidae (Waxbills)
Pin-tailed Whydah,Vidua macroura,Viduidae (Whydahs and Indigobirds)
Long-tailed Paradise-whydah,Vidua paradisaea,Viduidae (Whydahs and Indigobirds)
Shaft-tailed Whydah,Vidua regia,Viduidae (Whydahs and Indigobirds)
Dusky Indigobird,Vidua funerea,Viduidae (Whydahs and Indigobirds)
Village Indigobird,Vidua chalybeata,Viduidae (Whydahs and Indigobirds)
Purple Indigobird,Vidua purpurascens,Viduidae (Whydahs and Indigobirds)
Cuckoo-finch,Anomalospiza imberbis,Viduidae (Whydahs and Indigobirds)
Great Sparrow,Passer motitensis,Passeridae (Old World Sparrows)
Cape Sparrow,Passer melanurus,Passeridae (Old World Sparrows)
Southern Grey-headed Sparrow,Passer diffusus,Passeridae (Old World Sparrows)
Yellow-throated Bush-sparrow,Gymnoris superciliaris,Passeridae (Old World Sparrows)
Short-tailed Pipit,Anthus brachyurus,Motacillidae (Pipits and Wagtails)
