common_name,scientific_name,family
Whistling Yellowbill,Ceuthmochares australis,Cuculidae (Cuckoos)
Jacobin Cuckoo,Clamator jacobinus,Cuculidae (Cuckoos)
Levaillant's Cuckoo,Clamator levaillantii,Cuculidae (Cuckoos)
Great Spotted Cuckoo,Clamator glandarius,Cuculidae (Cuckoos)
Thick-billed Cuckoo,Pachycoccyx audeberti,Cuculidae (Cuckoos)
Klaas's Cuckoo,Chrysococcyx klaas,Cuculidae (Cuckoos)
African Emerald Cuckoo,Chrysococcyx cupreus,Cuculidae (Cuckoos)
Diederik Cuckoo,Chrysococcyx caprius,Cuculidae (Cuckoos)
Red-chested Cuckoo,Cuculus solitarius,Cuculidae (Cuckoos)
Black Cuckoo,Cuculus clamosus,Cuculidae (Cuckoos)
Common Cuckoo,Cuculus canorus,Cuculidae (Cuckoos)
African Cuckoo,Cuculus gularis,Cuculidae (Cuckoos)
African Finfoot,Podica senegalensis,Heliornithidae (Finfoots)
Buff-spotted Flufftail,Sarothrura elegans,"Rallidae (Rails, Gallinules, Coots)"
Red-chested Flufftail,Sarothrura rufa,"Rallidae (Rails, Gallinules, Coots)"
Striped Flufftail,Sarothrura affinis,"Rallidae (Rails, Gallinules, Coots)"
White-winged Flufftail,Sarothrura ayresi,"Rallidae (Rails, Gallinules, Coots)"
African Rail,Rallus caerulescens,"Rallidae (Rails, Gallinules, Coots)"
African Crake,Crex egregia,"Rallidae (Rails, Gallinules, Coots)"
Corncrake,Crex crex,"Rallidae (Rails, Gallinules, Coots)"
Spotted Crake,Porzana porzana,"Rallidae (Rails, Gallinules, Coots)"
Black Crake,Zapornia flavirostra,"Rallidae (Rails, Gallinules, Coots)"
Baillon's Crake,Zapornia pusilla,"Rallidae (Rails, Gallinules, Coots)"
Striped Crake,Amaurornis marginalis,"Rallidae (Rails, Gallinules, Coots)"
Purple Swamphen,Porphyrio porphyrio,"Rallidae (Rails, Gallinules, Coots)"
Allen's Gallinule,Porphyrio alleni,"Rallidae (Rails, Gallinules, Coots)"
Common Moorhen,Gallinula chloropus,"Rallidae (Rails, Gallinules, Coots)"
Lesser Moorhen,Paragallinula angulata,"Rallidae (Rails, Gallinules, Coots)"
Red-knobbed Coot,Fulica cristata,"Rallidae (Rails, Gallinules, Coots)"
Grey Crowned Crane,Balearica regulorum,Gruidae (Cranes)
Wattled Crane,Bugeranus carunculatus,Gruidae (Cranes)
Blue Crane,Anthropoides paradiseus,Gruidae (Cranes)
Black-bellied Bustard,Lissotis melanogaster,Otididae (Bustards)
Ludwig's Bustard,Neotis ludwigii,Otididae (Bustards)
Denham's Bustard,Neotis denhami,Otididae (Bustards)
Kori Bustard,Ardeotis kori,Otididae (Bustards)
Red-crested Bustard,Lophotis ruficrista,Otididae (Bustards)
Karoo Bustard,Heterotetrax vigorsii,Otididae (Bustards)
Southern Black Bustard,Afrotis afra,Otididae (Bustards)
Northern Black Bustard,Afrotis afraoides,Otididae (Bustards)
White-bellied Bustard,Eupodotis senegalensis,Otididae (Bustards)
Blue Bustard,Eupodotis caerulescens,Otididae (Bustards)
Grey Go-away-bird,Corythaixoides concolor,Musophagidae (Turacos)
Purple-crested Turaco,Gallirex porphyreolophus,Musophagidae (Turacos)
Livingstone's Turaco,Tauraco livingstonii,Musophagidae (Turacos)
Knysna Turaco,Tauraco corythaix,Musophagidae (Turacos)
King Penguin,Aptenodytes patagonicus,Spheniscidae (Penguins)
Gentoo Penguin,Pygoscelis papua,Spheniscidae (Penguins)
Macaroni Penguin,Eudyptes chrysolophus,Spheniscidae (Penguins)
Southern Rockhopper Penguin,Eudyptes chrysocome,Spheniscidae (Penguins)
African Penguin,Spheniscus demersus,Spheniscidae (Penguins)
Wilson's Storm-petrel,Oceanites oceanicus,Oceanitidae (Southern Storm-petrels)
White-bellied Storm-petrel,Fregetta grallaria,Oceanitidae (Southern Storm-petrels)
Black-bellied Storm-petrel,Fregetta tropica,Oceanitidae (Southern Storm-petrels)
Leach's Storm-petrel,Hydrobates leucorhous,Hydrobatidae (Northern Storm-petrels)
Northern Royal Albatross,Diomedea sanfordi,Diomedeidae (Albatrosses)
Southern Royal Albatross,Diomedea epomophora,Diomedeidae (Albatrosses)
Snowy Albatross,Diomedea exulans,Diomedeidae (Albatrosses)
Tristan Albatross,Diomedea dabbenena,Diomedeidae (Albatrosses)
Sooty Albatross,Phoebetria fusca,Diomedeidae (Albatrosses)
Light-mantled Albatross,Phoebetria palpebrata,Diomedeidae (Albatrosses)
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Diomedeidae (Albatrosses)
Indian Yellow-nosed Albatross,Thalassarche carteri,Diomedeidae (Albatrosses)
Grey-headed Albatross,Thalassarche chrysostoma,Diomedeidae (Albatrosses)
Black-browed Albatross,Thalassarche melanophris,Diomedeidae (Albatrosses)
