common_name,scientific_name,image_src
Cape Teal,Anas capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/426/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-billed Teal,Anas erythrorhyncha,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/455/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Northern Pintail,Anas acuta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/457/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Little Grebe,Tachybaptus ruficollis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3628/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great Crested Grebe,Podiceps cristatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3639/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-necked Grebe,Podiceps nigricollis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3641/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Greater Flamingo,Phoenicopterus roseus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3769/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Lesser Flamingo,Phoeniconaias minor,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3771/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-tailed Tropicbird,Phaethon rubricauda,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3649/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-tailed Tropicbird,Phaethon lepturus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3650/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Speckled Pigeon,Columba guinea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2447/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Olive-pigeon,Columba arquatrix,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2459/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
