common_name,scientific_name,image_src
Light-mantled Albatross,Phoebetria palpebrata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3971/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3965/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Indian Yellow-nosed Albatross,Thalassarche carteri,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/30015/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey-headed Albatross,Thalassarche chrysostoma,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3964/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-browed Albatross,Thalassarche melanophris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3959/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Shy Albatross,Thalassarche cauta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/31007/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-capped Albatross,Thalassarche steadi,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/31008/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Salvin's Albatross,Thalassarche salvini,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3962/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Northern Giant Petrel,Macronectes halli,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3871/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Giant Petrel,Macronectes giganteus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3870/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Fulmar,Fulmarus glacialoides,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3873/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Cape Petrel,Daption capense,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3875/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Blue Petrel,Halobaena caerulea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3913/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Broad-billed Prion,Pachyptila vittata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3914/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Salvin's Prion,Pachyptila salvini,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1018383/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Antarctic Prion,Pachyptila desolata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3916/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Slender-billed Prion,Pachyptila belcheri,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3917/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Fairy Prion,Pachyptila turtur,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3918/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Kerguelen Petrel,Aphrodroma brevirostris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3877/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Barau's Petrel,Pterodroma baraui,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3900/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Soft-plumaged Petrel,Pterodroma mollis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3908/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Atlantic Petrel,Pterodroma incerta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3909/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-headed Petrel,Pterodroma lessonii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3905/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great-winged Petrel,Pterodroma macroptera,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016861/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey Petrel,Procellaria cinerea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3925/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-chinned Petrel,Procellaria aequinoctialis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3922/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Spectacled Petrel,Procellaria conspicillata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/30027/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Flesh-footed Shearwater,Ardenna carneipes,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3930/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Scopoli's Shearwater,Calonectris diomedea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016863/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Cory's Shearwater,Calonectris borealis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/31633/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Manx Shearwater,Puffinus puffinus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3936/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Subantarctic Shearwater,Puffinus elegans,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016942/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
South Georgia Diving-petrel,Pelecanoides georgicus,No image found
Common Diving-petrel,Pelecanoides urinatrix,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3951/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Marabou Stork,Leptoptilos crumenifer,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3841/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Yellow-billed Stork,Mycteria ibis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3826/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Openbill,Anastomus lamelligerus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3829/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black Stork,Ciconia nigra,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3830/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Abdim's Stork,Ciconia abdimii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3831/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Woollyneck,Ciconia microscelis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016749/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White Stork,Ciconia ciconia,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3835/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Saddle-billed Stork,Ephippiorhynchus senegalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3838/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Spoonbill,Platalea alba,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3804/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Sacred Ibis,Threskiornis aethiopicus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3794/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Southern Bald Ibis,Geronticus calvus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3792/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Hadada Ibis,Bostrychia hagedash,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3786/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Glossy Ibis,Plegadis falcinellus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3777/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Eurasian Bittern,Botaurus stellaris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3766/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Little Bittern,Ixobrychus minutus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/32572/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Dwarf Bittern,Ixobrychus sturmii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3762/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-backed Night Heron,Calherodius leuconotus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3744/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-crowned Night Heron,Nycticorax nycticorax,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3742/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Green-backed Heron,Butorides striata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016802/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Squacco Heron,Ardeola ralloides,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3731/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Rufous-bellied Heron,Ardeola rufiventris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3736/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Cattle Egret,Bubulcus ibis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3730/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey Heron,Ardea cinerea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3715/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-headed Heron,Ardea melanocephala,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3720/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Goliath Heron,Ardea goliath,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3722/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Purple Heron,Ardea purpurea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3725/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great White Egret,Ardea alba,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3728/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Yellow-billed Egret,Ardea brachyrhyncha,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016786/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black Heron,Egretta ardesiaca,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3704/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Slaty Egret,Egretta vinaceigula,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3703/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Little Egret,Egretta garzetta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016839/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Hamerkop,Scopus umbretta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3768/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Pink-backed Pelican,Pelecanus rufescens,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3810/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great White Pelican,Pelecanus onocrotalus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3809/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great Frigatebird,Fregata minor,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3845/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Cape Gannet,Morus capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3653/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Crowned Cormorant,Microcarbo coronatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3665/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Long-tailed Cormorant,Microcarbo africanus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3664/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Imperial Shag,Leucocarbo atriceps,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/31020/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great Cormorant,Phalacrocorax carbo,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3679/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Cape Cormorant,Phalacrocorax capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3682/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Bank Cormorant,Phalacrocorax neglectus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3672/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Darter,Anhinga rufa,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3661/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Water Thick-knee,Burhinus vermiculatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3081/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Spotted Thick-knee,Burhinus capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3082/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-faced Sheathbill,Chionis minor,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3077/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Oystercatcher,Haematopus moquini,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3090/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Pied Avocet,Recurvirostra avosetta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3107/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-winged Stilt,Himantopus himantopus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016812/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey Plover,Pluvialis squatarola,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3114/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Ringed Plover,Charadrius hiaticula,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3116/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Kittlitz's Plover,Charadrius pecuarius,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3124/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Three-banded Plover,Charadrius tricollaris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016703/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-fronted Plover,Charadrius marginatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3130/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Chestnut-banded Plover,Charadrius pallidus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3128/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Tibetan Sandplover,Charadrius atrifrons,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1143700/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Greater Sandplover,Charadrius leschenaultii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3139/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Caspian Plover,Charadrius asiaticus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3140/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Long-toed Lapwing,Vanellus crassirostris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3154/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Blacksmith Lapwing,Vanellus armatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3159/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
White-crowned Lapwing,Vanellus albiceps,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3166/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Senegal Lapwing,Vanellus lugubris,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3168/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-winged Lapwing,Vanellus melanopterus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3169/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Crowned Lapwing,Vanellus coronatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3170/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Wattled Lapwing,Vanellus senegallus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3167/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Greater Painted-snipe,Rostratula benghalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/32580/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Jacana,Actophilornis africanus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3068/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Lesser Jacana,Microparra capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3070/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Whimbrel,Numenius phaeopus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3009/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Eurasian Curlew,Numenius arquata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3012/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Bar-tailed Godwit,Limosa lapponica,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3005/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Ruddy Turnstone,Arenaria interpres,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3034/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red Knot,Calidris canutus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3041/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Ruff,Calidris pugnax,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3062/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Curlew Sandpiper,Calidris ferruginea,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3057/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Temminck's Stint,Calidris temminckii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3047/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Sanderling,Calidris alba,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3042/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Little Stint,Calidris minuta,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3045/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
African Snipe,Gallinago nigripennis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2991/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Great Snipe,Gallinago media,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2989/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red Phalarope,Phalaropus fulicarius,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3065/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Terek Sandpiper,Xenus cinereus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3026/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Sandpiper,Actitis hypoleucos,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3027/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Green Sandpiper,Tringa ochropus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3024/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Greenshank,Tringa nebularia,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3019/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Redshank,Tringa totanus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3017/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Wood Sandpiper,Tringa glareola,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3025/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Marsh Sandpiper,Tringa stagnatilis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3018/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Common Buttonquail,Turnix sylvaticus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/504/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-rumped Buttonquail,Turnix nanus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016503/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Fynbos Buttonquail,Turnix hottentottus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016501/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Crab-plover,Dromas ardeola,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3177/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Double-banded Courser,Smutsornis africanus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3179/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Three-banded Courser,Rhinoptilus cinctus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3181/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Bronze-winged Courser,Rhinoptilus chalcopterus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3180/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Burchell's Courser,Cursorius rufus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3184/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Temminck's Courser,Cursorius temminckii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3185/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Collared Pratincole,Glareola pratincola,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3187/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Black-winged Pratincole,Glareola nordmanni,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3189/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Brown Noddy,Anous stolidus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3294/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Sabine's Gull,Xema sabini,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3253/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Hartlaub's Gull,Larus hartlaubii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3235/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey-headed Gull,Larus cirrocephalus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3234/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Kelp Gull,Larus dominicanus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3221/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Lesser Black-backed Gull,Larus fuscus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3231/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Sooty Tern,Onychoprion fuscatus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3288/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Bridled Tern,Onychoprion anaethetus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/3287/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
