common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
African Finfoot,Podica senegalensis,Watertrapper,https://cdn.sabirds.app/african-finfoot/1_medium.webp,Finfoots,Large,Wetland,"['Brown', 'White', 'Orange']"
African Firefinch,Lagonosticta rubricata,Kaapse Vuurvinkie,https://cdn.sabirds.app/african-firefinch/1_medium.webp,Firefinches,Tiny,Woodland,"['Red', 'Brown', 'Pink']"
African Fish Eagle,Haliaeetus vocifer,Visarend,https://cdn.sabirds.app/african-fish-eagle/1_medium.webp,Eagles,Very Large,Wetland,"['Brown', 'White', 'Black']"
African Golden Oriole,Oriolus auratus,Afrikaanse Wielewaal,https://cdn.sabirds.app/african-golden-oriole/1_medium.webp,Orioles,Medium,Woodland,"['Yellow', 'Black']"
African Goshawk,Accipiter tachiro,Afrikaanse Sperwer,https://cdn.sabirds.app/african-goshawk/1_medium.webp,Hawks,Large,Forest,"['Grey', 'White', 'Orange']"
African Grass Owl,Tyto capensis,Grasuil,https://cdn.sabirds.app/african-grass-owl/1_medium.webp,Owls,Large,Grassland,"['Brown', 'White', 'Buff']"
African Green Pigeon,Treron calvus,Papegaaiduif,https://cdn.sabirds.app/african-green-pigeon/1_medium.webp,Pigeons,Medium,Forest,"['Green', 'Yellow', 'Purple']"
African Grey Hornbill,Lophoceros nasutus,Grysneushoringvoël,https://cdn.sabirds.app/african-grey-hornbill/1_medium.webp,Hornbills,Medium,Fynbos,"['Grey', 'Black', 'White']"
African Harrier- Hawk,Polyboroides typus,Kaalwangvalk,https://cdn.sabirds.app/african-harrier-hawk/1_medium.webp,Hawks,Large,Forest,"['Brown', 'White', 'Black']"
African Hawk Eagle,Aquila spilogaster,Grootjagarend,https://cdn.sabirds.app/african-hawk-eagle/1_medium.webp,Eagles,Very Large,Grassland,"['Brown', 'White', 'Black']"
African Hobby,Falco cuvierii,Afrikaanse Boomvalk,https://cdn.sabirds.app/african-hobby/1_medium.webp,Falcons,Medium,Woodland,"['Grey', 'Brown', 'White']"
African Hoopoe,Upupa africana,Hoephoep,https://cdn.sabirds.app/african-hoopoe/1_medium.webp,Hoopoes,Medium,Savanna,"['Chestnut', 'Black', 'White']"
African Jacana,Actophilornis africanus,Grootlangtoon,https://cdn.sabirds.app/african-jacana/1_medium.webp,Jacanas,Medium,Wetland,"['Brown', 'White', 'Blue']"
African Marsh Harrier,Circus ranivorus,Afrikaanse Vleivalk(Paddavreter),https://cdn.sabirds.app/african-marsh-harrier/1_medium.webp,Harriers,Large,Wetland,"['Brown', 'Buff']"
African Mourning Dove,Streptopelia decipiens,Rooioogtortelduif,https://cdn.sabirds.app/african-mourning-dove/1_medium.webp,Doves,Medium,Fynbos,"['Grey', 'Brown', 'Pink']"
African Olive Pigeon,Columba arquatrix,Geelbekbosduif,https://cdn.sabirds.app/african-olive-pigeon/1_medium.webp,Pigeons,Large,Forest,"['Grey', 'Purple', 'Yellow']"
African Openbill,Anastomus lamelligerus,Oopbekooievaar,https://cdn.sabirds.app/african-openbill/1_medium.webp,Storks,Very Large,Wetland,"['Black', 'Brown']"
African Oystercatcher,Haematopus moquini,Swarttobie,https://cdn.sabirds.app/african-oystercatcher/1_medium.webp,Oystercatchers,Large,Coastal,"['Black', 'White', 'Orange']"
African Palm Swift,Cypsiurus parvus,Palmwindswael,https://cdn.sabirds.app/african-palm-swift/1_medium.webp,Swifts,Tiny,Fynbos,"['Brown', 'Grey', 'Buff']"
African Paradise Flycatcher,Terpsiphone viridis,Paradysvlieëvanger,https://cdn.sabirds.app/african-paradise-flycatcher/1_medium.webp,Paradise-Flycatchers,Tiny,Woodland,"['Orange', 'Black', 'White']"
African Penguin,Spheniscus demersus,Brilpikkewyn,https://cdn.sabirds.app/african-penguin/1_medium.webp,Penguins,Very Large,Marine,"['Black', 'White']"
African Pied Wagtail,Motacilla aguimp,Bontkwikkie,https://cdn.sabirds.app/african-pied-wagtail/1_medium.webp,Wagtails,Small,Rivers,"['Black', 'White']"
African Pipit,Anthus cinnamomeus,Gewone Koester,https://cdn.sabirds.app/african-pipit/1_medium.webp,Pipits,Small,Grassland,"['Brown', 'Buff', 'White']"
African Pitta,Pitta angolensis,Angolapitta,https://cdn.sabirds.app/african-pitta/1_medium.webp,Pittas,Medium,Forest,"['Green', 'Blue', 'Red']"
African Pygmy Goose,Nettapus auritus,Dwerggans,https://cdn.sabirds.app/african-pygmy-goose/1_medium.webp,Ducks,Large,Wetland,"['Green', 'White', 'Orange']"
African Pygmy Kingfisher,Ispidina picta,Dwergvisvanger,https://cdn.sabirds.app/african-pygmy-kingfisher/1_medium.webp,Kingfishers,Tiny,Forest,"['Blue', 'Orange', 'Purple']"
African Rail,Rallus caerulescens,Grootriethaan,https://cdn.sabirds.app/african-rail/1_medium.webp,Rails,Medium,Wetland,"['Brown', 'Grey', 'Red']"
African Red-eyed Bulbul,Pycnonotus nigricans,Rooioogtiptol,https://cdn.sabirds.app/african-red-eyed-bulbul/1_medium.webp,Bulbuls,Small,Fynbos,"['Brown', 'Red', 'Yellow']"
African Rock Pipit,Anthus crenatus,Klipkoester,https://cdn.sabirds.app/african-rock-pipit/1_medium.webp,Pipits,Small,Grassland,"['Brown', 'White', 'Yellow']"
African Sacred Ibis,Threskiornis aethiopicus,Skoorsteenveër,https://cdn.sabirds.app/african-sacred-ibis/1_medium.webp,Ibises,Very Large,Wetland,"['White', 'Black']"
African Scops Owl,Otus senegalensis,Skopsuil,https://cdn.sabirds.app/african-scops-owl/1_medium.webp,Owls,Medium,Woodland,"['Grey', 'Brown']"
African Skimmer,Rynchops flavirostris,Waterploeër,https://cdn.sabirds.app/african-skimmer/1_medium.webp,Skimmers,Medium,Wetland,"['Black', 'White', 'Orange']"
African Snipe,Gallinago nigripennis,Afrikaanse Snip,https://cdn.sabirds.app/african-snipe/1_medium.webp,Snipes,Medium,Wetland,"['Brown', 'Buff', 'White']"
African Spoonbill,Platalea alba,Lepelaar,https://cdn.sabirds.app/african-spoonbill/1_medium.webp,Spoonbills,Very Large,Wetland,"['White', 'Pink', 'Red']"
African Spotted Creeper,Salpornis salvadori,Afrikaanse Boomkruiper,https://cdn.sabirds.app/african-spotted-creeper/1_medium.webp,Creepers,Tiny,Woodland,"['Brown', 'White']"
African Stonechat,Saxicola torquatus,Gewone Bontrokkie,https://cdn.sabirds.app/african-stonechat/1_medium.webp,Chats,Tiny,Fynbos,"['Black', 'Orange', 'White']"
African Swamphen,Porphyrio madagascariensis,Grootkoningriethaan,https://cdn.sabirds.app/african-swamphen/1_medium.webp,Swamphens,Large,Wetland,"['Brown', 'Grey', 'Red']"
African Wattled Lapwing,Vanellus senegallus,Lelkiewiet,https://cdn.sabirds.app/african-wattled-lapwing/1_medium.webp,Lapwings,Medium,Wetland,"['Brown', 'White', 'Yellow']"
African Wood Owl,Strix woodfordii,Bosuil,https://cdn.sabirds.app/african-wood-owl/1_medium.webp,Owls,Large,Forest,"['Brown', 'White']"
African Woolly-necked Stork,Ciconia microscelis,Wolnekooievaar,https://cdn.sabirds.app/african-woolly-necked-stork/1_medium.webp,Storks,Very Large,Wetland,"['White', 'Black', 'Red']"
Agulhas Long-billed Lark,Certhilauda brevirostris,Overberglangbeklewerik,https://cdn.sabirds.app/agulhas-long-billed-lark/1_medium.webp,Larks,Small,Fynbos,"['Brown', 'Buff', 'Grey']"
Allen's Gallinule,Porphyrio alleni,Kleinkoningriethaan,https://cdn.sabirds.app/allens-gallinule/1_medium.webp,Swamphens,Medium,Wetland,"['Purple', 'Green', 'Red']"
Alpine Swift,Tachymarptis melba,Witpenswindswael,https://cdn.sabirds.app/alpine-swift/1_medium.webp,Swifts,Medium,Rocky,"['Brown', 'White']"
American Golden Plover,Pluvialis dominica,Amerikaanse Goue Strandkiewiet,https://cdn.sabirds.app/american-golden-plover/1_medium.webp,Plovers,Medium,Grassland,"['Yellow', 'Brown', 'White', 'Black']"
American Purple Gallinule,Porphyrio martinica,Amerikaanse Koningriethaan,https://cdn.sabirds.app/american-purple-gallinule/1_medium.webp,Swamphens,Large,Wetland,"['Purple', 'Brown', 'Grey', 'Red']"
Amethyst Sunbird,Chalcomitra amethystina,Swartsuikerbekkie,https://cdn.sabirds.app/amethyst-sunbird/1_medium.webp,Sunbirds,Tiny,Woodland,"['Black', 'Purple', 'Green']"
Amsterdam Albatross,Diomedea amsterdamensis,Amsterdamalbatros,https://cdn.sabirds.app/amsterdam-albatross/1_medium.webp,Albatrosses,Very Large,Marine,"['White', 'Black', 'Grey']"
Amur Falcon,Falco amurensis,Oostelike Rooipootvalk,https://cdn.sabirds.app/amur-falcon/1_medium.webp,Falcons,Medium,Grassland,"['Grey', 'Orange', 'White']"
Ant-eating Chat,Myrmecocichla formicivora,Swartpiek,https://cdn.sabirds.app/ant-eating-chat/1_medium.webp,Chats,Small,Grassland,"['Brown', 'Pink']"
Antarctic Petrel,Thalassoica antarctica,Antarktiese Stormvoël,https://cdn.sabirds.app/antarctic-petrel/1_medium.webp,Petrels,Large,Marine,"['Grey', 'Brown', 'White']"
Antarctic Prion,Pachyptila desolata,Antarktiese Walvisvoël,https://cdn.sabirds.app/antarctic-prion/1_medium.webp,Prions,Medium,Marine,"['Grey', 'Brown', 'White']"
Antarctic Tern,Sterna vittata,Grysborssterretjie,https://cdn.sabirds.app/antarctic-tern/1_medium.webp,Terns,Medium,Marine,"['White', 'Grey', 'Red']"
Arctic Tern,Sterna paradisaea,Arktiese Sterretjie,https://cdn.sabirds.app/arctic-tern/1_medium.webp,Terns,Medium,Coastal,"['White', 'Grey', 'Red']"
Arnot's Chat,Myrmecocichla arnotti,Bontpiek,https://cdn.sabirds.app/arnots-chat/1_medium.webp,Chats,Small,Woodland,"['Black', 'White']"
Arrow-marked Babbler,Turdoides jardineii,Pylvlekkatlagter,https://cdn.sabirds.app/arrow-marked-babbler/1_medium.webp,Babblers,Medium,Fynbos,"['Brown', 'White']"
Ashy Flycatcher,Muscicapa caerulescens,Blougrysvlieëvanger,https://cdn.sabirds.app/ashy-flycatcher/1_medium.webp,Flycatchers,Tiny,Savanna,"['Grey', 'White']"
Ashy Tit,Melaniparus cinerascens,Akasiagrysmees,https://cdn.sabirds.app/ashy-tit/1_medium.webp,Tits,Small,Fynbos,"['Grey', 'Black', 'White']"
Asian Dowitcher,Limnodromus semipalmatus,Asiatiese Snip,https://cdn.sabirds.app/asian-dowitcher/1_medium.webp,Sandpipers,Medium,Wetland,"['Brown', 'Grey', 'White']"
Atlantic Petrel,Pterodroma incerta,Atlantiese Stormvoël,https://cdn.sabirds.app/atlantic-petrel/1_medium.webp,Petrels,Large,Marine,"['Grey', 'Brown', 'White']"
Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Atlantiese Geelneusalbatros (- malmok),https://cdn.sabirds.app/atlantic-yellow-nosed-albatross/1_medium.webp,Albatrosses,Very Large,Marine,"['Yellow', 'White', 'Black', 'Grey']"
Australasian Gannet,Morus serrator,Australiese Malgas,https://cdn.sabirds.app/australasian-gannet/1_medium.webp,Gannets,Very Large,Marine,"['White', 'Black', 'Yellow']"
Ayres's Hawk Eagle,Hieraaetus ayresii,Kleinjagarend,https://cdn.sabirds.app/ayress-hawk-eagle/1_medium.webp,Eagles,Large,Woodland,"['Brown', 'White', 'Black']"
Baillon's Crake,Zapornia pusilla,Kleinriethaan,https://cdn.sabirds.app/baillons-crake/1_medium.webp,Crakes,Small,Wetland,"['Brown', 'Grey', 'White']"
Baird's Sandpiper,Calidris bairdii,Bairdse Strandloper,https://cdn.sabirds.app/bairds-sandpiper/1_medium.webp,Sandpipers,Small,Grassland,"['Brown', 'Grey', 'White']"
Banded Martin,Neophedina cincta,Gebande Oewerswael,https://cdn.sabirds.app/banded-martin/1_medium.webp,Martins,Small,Grassland,"['Brown', 'White']"
Bank Cormorant,Phalacrocorax neglectus,Bankduiker,https://cdn.sabirds.app/bank-cormorant/1_medium.webp,Cormorants,Very Large,Marine,['Black']
Bar-tailed Godwit,Limosa lapponica,Bandstertgriet,https://cdn.sabirds.app/bar-tailed-godwit/1_medium.webp,Godwits,Large,Wetland,"['Brown', 'White']"
Bar-throated Apalis,Apalis thoracica,Bandkeelkleinjantjie,https://cdn.sabirds.app/bar-throated-apalis/1_medium.webp,Apalises,Tiny,Forest,"['Grey', 'White', 'Black']"
Barau's Petrel,Pterodroma baraui,Baraustormvoël,https://cdn.sabirds.app/baraus-petrel/1_medium.webp,Petrels,Large,Marine,"['Grey', 'Brown', 'White']"
Barlow's Lark,Calendulauda barlowi,Barlowse Lewerik,https://cdn.sabirds.app/barlows-lark/1_medium.webp,Larks,Small,Shrubland,"['Brown', 'Buff', 'Rufous']"
Barn Swallow,Hirundo rustica,Europese Swael,https://cdn.sabirds.app/barn-swallow/1_medium.webp,Swallows,Small,Grassland,"['Blue', 'Orange', 'White']"
Barratt's Warbler,Bradypterus barratti,Ruigtesanger,https://cdn.sabirds.app/barratts-warbler/1_medium.webp,Bush-Warblers,Small,Forest,"['Brown', 'Buff']"
Barred Long-tailed Cuckoo,Cercococcyx montanus,Langstertkoekoek,https://cdn.sabirds.app/barred-long-tailed-cuckoo/1_medium.webp,Cuckoos,Medium,Forest,"['Red', 'Grey', 'Brown', 'Black']"
Barred Wren- Warbler,Calamonastes fasciolatus,Gebande Sanger,https://cdn.sabirds.app/barred-wren-warbler/1_medium.webp,Warblers,Tiny,Woodland,"['Red', 'Green', 'Yellow', 'Grey']"
Basra Reed Warbler,Acrocephalus griseldis,Basrarietsanger,https://cdn.sabirds.app/basra-reed-warbler/1_medium.webp,Reed-Warblers,Small,Wetland,"['Brown', 'Buff']"
Bat Hawk,Macheiramphus alcinus,Vlermuisvalk,https://cdn.sabirds.app/bat-hawk/1_medium.webp,Hawks,Large,Forest,"['Brown', 'White', 'Black']"
Bateleur,Terathopius ecaudatus,Berghaan,https://cdn.sabirds.app/bateleur/1_medium.webp,Snake-Eagles,Very Large,Woodland,"['Black', 'White', 'Red']"
Bearded Scrub Robin,Cercotrichas quadrivirgata,Baardwipstert,https://cdn.sabirds.app/bearded-scrub-robin/1_medium.webp,Scrub-Robins,Small,Savanna,"['Brown', 'Black', 'White']"
Bearded Vulture,Gypaetus barbatus,Baardaasvoël,https://cdn.sabirds.app/bearded-vulture/1_medium.webp,Vultures,Very Large,Rocky,"['Black', 'Orange', 'White']"
Bearded Woodpecker,Chloropicus namaquus,Baardspeg,https://cdn.sabirds.app/bearded-woodpecker/1_medium.webp,Woodpeckers,Medium,Woodland,"['Black', 'White', 'Red']"
Bennett's Woodpecker,Campethera bennettii,Bennettse Speg,https://cdn.sabirds.app/bennetts-woodpecker/1_medium.webp,Woodpeckers,Medium,Woodland,"['Brown', 'White', 'Red']"
Black Coucal,Centropus grillii,Swartvleiloerie,https://cdn.sabirds.app/black-coucal/1_medium.webp,Coucals,Medium,Grassland,"['Black', 'Grey', 'Brown']"
Black Crake,Zapornia flavirostra,Swartriethaan,https://cdn.sabirds.app/black-crake/1_medium.webp,Crakes,Medium,Wetland,"['Black', 'Red', 'Yellow']"
Black Cuckoo,Cuculus clamosus,Swartkoekoek,https://cdn.sabirds.app/black-cuckoo/1_medium.webp,Cuckoos,Medium,Forest,['Black']
Black Cuckooshrike,Campephaga flava,Swartkatakoeroe,https://cdn.sabirds.app/black-cuckooshrike/1_medium.webp,Cuckooshrikes,Small,Fynbos,"['Black', 'Yellow']"
Black Harrier,Circus maurus,Witkruisvleivalk (-paddavreter),https://cdn.sabirds.app/black-harrier/1_medium.webp,Harriers,Large,Fynbos,"['Black', 'White']"
Black Heron,Egretta ardesiaca,Swartreier,https://cdn.sabirds.app/black-heron/1_medium.webp,Herons,Large,Wetland,"['Black', 'Grey', 'White']"
Black Kite,Milvus migrans,Geelbekwou,https://cdn.sabirds.app/black-kite/1_medium.webp,Kites,Large,Woodland,['Brown']
Black Saw-wing,Psalidoprocne pristoptera,Swartsaagvlerkswael,https://cdn.sabirds.app/black-saw-wing/1_medium.webp,Saw-wings,Tiny,Forest,['Black']
Black Skimmer,Rynchops niger,Amerikaanse Waterploeër,https://cdn.sabirds.app/black-skimmer/1_medium.webp,Skimmers,Large,Rivers,"['Black', 'White', 'Orange']"
Black Sparrowhawk,Accipiter melanoleucus,Swartsperwer,https://cdn.sabirds.app/black-sparrowhawk/1_medium.webp,Hawks,Large,Forest,"['Black', 'White']"
Black Stork,Ciconia nigra,Grootswartooievaar,https://cdn.sabirds.app/black-stork/1_medium.webp,Storks,Very Large,Woodland,"['Black', 'White', 'Red']"
Black Tern,Chlidonias niger,Swartsterretjie,https://cdn.sabirds.app/black-tern/1_medium.webp,Terns,Medium,Wetland,"['Black', 'Grey', 'White']"
Black-and-white Flycatcher,Bias musicus,Witpensvlieëvanger,https://cdn.sabirds.app/black-and-white-flycatcher/1_medium.webp,Flycatchers,Small,Forest,"['Black', 'White']"
Black-backed Puffback,Dryoscopus cubla,Sneeubal,https://cdn.sabirds.app/black-backed-puffback/1_medium.webp,Puffbacks,Small,Woodland,"['Black', 'White', 'Red']"
Black-bellied Bustard,Lissotis melanogaster,Langbeenkorhaan,https://cdn.sabirds.app/black-bellied-bustard/1_medium.webp,Bustards,Very Large,Grassland,"['Brown', 'Black', 'Buff']"
Black-bellied Starling,Notopholia corusca,Swartpensglansspreeu,https://cdn.sabirds.app/black-bellied-starling/1_medium.webp,Starlings,Medium,Woodland,"['Green', 'Black']"
Black-bellied Storm Petrel,Fregetta tropica,Swartpensstormswael,https://cdn.sabirds.app/black-bellied-storm-petrel/1_medium.webp,Storm-Petrels,Medium,Marine,"['Black', 'White']"
Black-browed Albatross,Thalassarche melanophris,Swartrugalbatros (-malmok),https://cdn.sabirds.app/black-browed-albatross/1_medium.webp,Albatrosses,Very Large,Marine,"['White', 'Black', 'Yellow']"
Black-chested Prinia,Prinia flavicans,Swartbandlangstertjie,https://cdn.sabirds.app/black-chested-prinia/1_medium.webp,Prinias,Tiny,Fynbos,"['Brown', 'Black', 'White']"
Black-chested Snake Eagle,Circaetus pectoralis,Swartborsslangarend,https://cdn.sabirds.app/black-chested-snake-eagle/1_medium.webp,Snake-Eagles,Very Large,Woodland,"['Brown', 'White', 'Black']"
Black-collared Barbet,Lybius torquatus,Rooikophoutkapper,https://cdn.sabirds.app/black-collared-barbet/1_medium.webp,Barbets,Medium,Grassland,"['Red', 'Black', 'Yellow']"
Black-crowned Night Heron,Nycticorax nycticorax,Gewone Nagreier,https://cdn.sabirds.app/black-crowned-night-heron/1_medium.webp,Herons,Large,Wetland,"['Grey', 'Black', 'White']"
Black-crowned Tchagra,Tchagra senegalus,Swartkroontjagra,https://cdn.sabirds.app/black-crowned-tchagra/1_medium.webp,Tchagras,Medium,Fynbos,"['Brown', 'Black', 'White']"
Black-eared Sparrow- Lark,Eremopterix australis,Swartoorlewerik,https://cdn.sabirds.app/black-eared-sparrow-lark/1_medium.webp,Larks,Tiny,Grassland,"['Black', 'Red']"
Black-faced Waxbill,Brunhilda erythronotos,Swartwangsysie,https://cdn.sabirds.app/black-faced-waxbill/1_medium.webp,Waxbills,Tiny,Woodland,"['Grey', 'Black', 'Pink']"
Black-fronted Bushshrike,Chlorophoneus nigrifrons,Swartoogboslaksman,https://cdn.sabirds.app/black-fronted-bushshrike/1_medium.webp,Bush-shrikes,Small,Forest,"['Green', 'Black', 'Yellow']"
Black-headed Canary,Serinus alario,Swartkopkanarie,https://cdn.sabirds.app/black-headed-canary/1_medium.webp,Canaries,Tiny,Fynbos,"['Black', 'Yellow', 'White']"
Black-headed Gull,Chroicocephalus ridibundus,Swartkopmeeu,https://cdn.sabirds.app/black-headed-gull/1_medium.webp,Gulls,Medium,Coastal,"['Brown', 'White', 'Grey', 'Red']"
Black-headed Heron,Ardea melanocephala,Swartkopreier,https://cdn.sabirds.app/black-headed-heron/1_medium.webp,Herons,Very Large,Wetland,"['Grey', 'Black', 'White']"
Black-headed Oriole,Oriolus larvatus,Swartkopwielewaal,https://cdn.sabirds.app/black-headed-oriole/1_medium.webp,Orioles,Medium,Woodland,"['Yellow', 'Black', 'Green']"
Black-legged Kittiwake,Rissa tridactyla,Swartpootbrandervoël,https://cdn.sabirds.app/black-legged-kittiwake/1_medium.webp,Gulls & Terns,Large,Marine,"['Grey', 'White', 'Black']"
Black-naped Tern,Sterna sumatrana,Swartneksterretjie,https://cdn.sabirds.app/black-naped-tern/1_medium.webp,Terns,Medium,Marine,"['Black', 'White', 'Grey']"
Black-necked Grebe,Podiceps nigricollis,Swartnekdobbertjie,https://cdn.sabirds.app/black-necked-grebe/1_medium.webp,Grebes,Large,Wetland,"['Black', 'Brown', 'Red']"
Black-rumped Buttonquail,Turnix nanus,Swartrugkwarteltjie,https://cdn.sabirds.app/black-rumped-buttonquail/1_medium.webp,Buttonquails,Medium,Grassland,['Black']
Black-tailed Godwit,Limosa limosa,Swartstertgriet,https://cdn.sabirds.app/black-tailed-godwit/1_medium.webp,Godwits,Large,Wetland,"['Brown', 'White', 'Black']"
Black-throated Canary,Crithagra atrogularis,Bergkanarie,https://cdn.sabirds.app/black-throated-canary/1_medium.webp,Canaries,Tiny,Woodland,"['Yellow', 'Black', 'Brown']"
Black-throated Wattle-eye,Platysteira peltata,Beloogbosbontrokkie,https://cdn.sabirds.app/black-throated-wattle-eye/1_medium.webp,Wattle-eyes,Tiny,Forest,"['Black', 'White', 'Red']"
Black-winged Kite,Elanus caeruleus,Blouvalk,https://cdn.sabirds.app/black-winged-kite/1_medium.webp,Kites,Large,Grassland,"['Black', 'Brown', 'White']"
Black-winged Lapwing,Vanellus melanopterus,Grootswartvlerkkiewiet,https://cdn.sabirds.app/black-winged-lapwing/1_medium.webp,Lapwings,Medium,Grassland,"['Brown', 'Black', 'White']"
Black-winged Pratincole,Glareola nordmanni,Swartvlerksprinkaanvoël,https://cdn.sabirds.app/black-winged-pratincole/1_medium.webp,Pratincoles,Medium,Grassland,"['Brown', 'Black', 'White']"
Black-winged Stilt,Himantopus himantopus,Rooipootelsie,https://cdn.sabirds.app/black-winged-stilt/1_medium.webp,Stilts,Medium,Wetland,"['Black', 'White', 'Pink']"
Blacksmith Lapwing,Vanellus armatus,Bontkiewiet,https://cdn.sabirds.app/blacksmith-lapwing/1_medium.webp,Lapwings,Medium,Wetland,"['Black', 'White', 'Grey']"
Blue Crane,Grus paradisea,Bloukraanvoël,https://cdn.sabirds.app/blue-crane/1_medium.webp,Cranes,Very Large,Wetland,"['Blue', 'Grey', 'White']"
Blue Korhaan,Eupodotis caerulescens,Bloukorhaan,https://cdn.sabirds.app/blue-korhaan/1_medium.webp,Bustards,Very Large,Grassland,"['Blue', 'Grey', 'Black']"
Blue Petrel,Halobaena caerulea,Bloustormvoël,https://cdn.sabirds.app/blue-petrel/1_medium.webp,Petrels,Medium,Marine,"['Blue', 'Grey', 'Brown', 'White']"
Blue Quail,Synoicus adansonii,Bloukwartel,https://cdn.sabirds.app/blue-quail/1_medium.webp,Quails,Small,Grassland,"['Blue', 'Brown', 'Black']"
Blue Swallow,Hirundo atrocaerulea,Blouswael,https://cdn.sabirds.app/blue-swallow/1_medium.webp,Swallows,Tiny,Grassland,"['Blue', 'White', 'Orange']"
Blue Waxbill,Uraeginthus angolensis,Gewone Blousysie,https://cdn.sabirds.app/blue-waxbill/1_medium.webp,Waxbills,Tiny,Woodland,"['Blue', 'Brown', 'Pink']"
Blue-billed Teal,Spatula hottentota,Gevlekte Eend,https://cdn.sabirds.app/blue-billed-teal/1_medium.webp,Ducks,Large,Wetland,"['Blue', 'Brown', 'Green', 'White']"
Blue-cheeked Bee-eater,Merops persicus,Blouwangbyvreter,https://cdn.sabirds.app/blue-cheeked-bee-eater/1_medium.webp,Bee-eaters,Small,Karoo,"['Green', 'Blue', 'Orange']"
Blue-mantled Crested Flycatcher,Trochocercus cyanomelas,Bloukuifvlieëvanger,https://cdn.sabirds.app/blue-mantled-crested-flycatcher/1_medium.webp,Flycatchers,Tiny,Forest,"['Blue', 'Black', 'White']"
Blue-spotted Wood Dove,Turtur afer,Blouvlekduifie,https://cdn.sabirds.app/blue-spotted-wood-dove/1_medium.webp,Doves,Medium,Fynbos,"['Brown', 'Blue', 'Purple']"
Bokmakierie,Telophorus zeylonus,Bokmakierie,https://cdn.sabirds.app/bokmakierie/1_medium.webp,Bokmakieries,Medium,Fynbos,"['Green', 'Yellow', 'Black']"
Booted Eagle,Hieraaetus pennatus,Dwergarend,https://cdn.sabirds.app/booted-eagle/1_medium.webp,Eagles,Large,Forest,"['Brown', 'White']"
Botha's Lark,Spizocorys fringillaris,Vaalrivierlewerik,https://cdn.sabirds.app/bothas-lark/1_medium.webp,Larks,Small,Grassland,"['Brown', 'Buff']"
Boulder Chat,Pinarornis plumosus,Swartberglyster,https://cdn.sabirds.app/boulder-chat/1_medium.webp,Chats,Medium,Woodland,"['Brown', 'Orange', 'White']"
Bradfield's Swift,Apus bradfieldi,Muiskleurwindswael,https://cdn.sabirds.app/bradfields-swift/1_medium.webp,Swifts,Small,Karoo,"['Brown', 'Grey', 'White']"
Bridled Tern,Onychoprion anaethetus,Brilsterretjie,https://cdn.sabirds.app/bridled-tern/1_medium.webp,Terns,Medium,Marine,"['White', 'Grey', 'Black']"
Brimstone Canary,Crithagra sulphurata,Dikbekkanarie,https://cdn.sabirds.app/brimstone-canary/1_medium.webp,Canaries,Small,Fynbos,"['Yellow', 'Green']"
Broad-billed Prion,Pachyptila vittata,Breëbekwalvisvoël,https://cdn.sabirds.app/broad-billed-prion/1_medium.webp,Prions,Medium,Marine,"['Grey', 'Brown', 'White']"
Broad-billed Roller,Eurystomus glaucurus,Geelbektroupant,https://cdn.sabirds.app/broad-billed-roller/1_medium.webp,Rollers,Medium,Forest,"['Purple', 'Blue', 'Yellow']"
Broad-billed Sandpiper,Calidris falcinellus,Breëbekstrandloper,https://cdn.sabirds.app/broad-billed-sandpiper/1_medium.webp,Sandpipers,Small,Wetland,"['Brown', 'Grey', 'White']"
Broad-tailed Paradise Whydah,Vidua obtusa,Breëstertparadysvink,https://cdn.sabirds.app/broad-tailed-paradise-whydah/1_medium.webp,Whydahs,Small,Woodland,"['Black', 'Orange', 'Brown']"
Broad-tailed Warbler,Schoenicola brevirostris,Breëstertsanger,https://cdn.sabirds.app/broad-tailed-warbler/1_medium.webp,Warblers,Small,Grassland,"['Brown', 'Buff', 'Rufous']"
Bronze Mannikin,Spermestes cucullata,Gewone Fret,https://cdn.sabirds.app/bronze-mannikin/1_medium.webp,Mannikins,Tiny,Woodland,"['Brown', 'Black', 'White']"
Bronze-winged Courser,Rhinoptilus chalcopterus,Bronsvlerkdrawwertjie,https://cdn.sabirds.app/bronze-winged-courser/1_medium.webp,Coursers,Medium,Woodland,"['Brown', 'White']"
Brown Booby,Sula leucogaster,Bruinmalgas,https://cdn.sabirds.app/brown-booby/1_medium.webp,Boobies,Very Large,Marine,"['Brown', 'White', 'Black', 'Yellow']"
Brown Noddy,Anous stolidus,Grootbruinsterretjie,https://cdn.sabirds.app/brown-noddy/1_medium.webp,Noddies,Medium,Marine,"['Brown', 'White', 'Grey', 'Black']"
Brown Scrub Robin,Cercotrichas signata,Bruinwipstert,https://cdn.sabirds.app/brown-scrub-robin/1_medium.webp,Scrub-Robins,Small,Savanna,"['Brown', 'White']"
Brown Snake Eagle,Circaetus cinereus,Bruinslangarend,https://cdn.sabirds.app/brown-snake-eagle/1_medium.webp,Snake-Eagles,Very Large,Fynbos,"['Brown', 'Grey', 'White']"
Brown-backed Honeybird,Prodotiscus regulus,Skerpbekheuningvoël,https://cdn.sabirds.app/brown-backed-honeybird/1_medium.webp,Honeyguides,Tiny,Woodland,"['Brown', 'White']"
