,Common name,Binomial
663,South African swallow,Petrochelidon spilodera
664,Common house-martin,Delichon urbicum
665,Black sawwing,Psalidoprocne pristoptera
666,Gray-rumped swallow,Pseudhirundo griseopyga
667,Sombre greenbul,Andropadus importunus
668,Yellow-bellied greenbul,Chlorocichla flaviventris
669,Terrestrial brownbul,Phyllastrephus terrestris
670,Yellow-streaked greenbul,Phyllastrephus flavostriatus
671,Common bulbul,Pycnonotus barbatus
672,Black-fronted bulbul,Pycnonotus nigricans
673,Cape bulbul,Pycnonotus capensis
674,Wood warbler,Phylloscopus sibilatrix
675,Willow warbler,Phylloscopus trochilus
676,Yellow-throated woodland-warbler,Phylloscopus ruficapillus
677,Green warbler,Phylloscopus nitidus
678,Eurasian blackcap,Sylvia atricapilla
679,Garden warbler,Sylvia borin
680,Bush blackcap,Sylvia nigricapillus
681,Barred warbler,Curruca nisoria
682,Layard's warbler,Curruca layardi
683,Chestnut-vented warbler,Curruca subcoerulea
684,Lesser whitethroat,Curruca curruca
685,Greater whitethroat,Curruca communis
686,Orange River white-eye,Zosterops pallidus
687,Cape white-eye,Zosterops virens
688,Southern yellow white-eye,Zosterops anderssoni
689,Arrow-marked babbler,Turdoides jardineii
690,Southern pied-babbler,Turdoides bicolor
691,African spotted creeper,Salpornis salvadori
692,Red-billed oxpecker,Buphagus erythrorynchus
693,Yellow-billed oxpecker,Buphagus africanus
694,European starling,Sturnus vulgaris
695,Wattled starling,Creatophora cinerea
696,Rosy starling,Pastor roseus
697,Common myna,Acridotheres tristis
698,Violet-backed starling,Cinnyricinclus leucogaster
699,Pale-winged starling,Onychognathus nabouroup
700,Red-winged starling,Onychognathus morio
701,Black-bellied starling,Notopholia corusca
702,Burchell's starling,Lamprotornis australis
703,Meves's starling,Lamprotornis mevesii
704,African pied starling,Lamprotornis bicolor
705,Lesser blue-eared starling,Lamprotornis chloropterus
706,Greater blue-eared starling,Lamprotornis chalybaeus
707,Cape starling,Lamprotornis nitens
708,Spotted ground-thrush,Geokichla guttata
709,Orange ground-thrush,Geokichla gurneyi
710,Groundscraper thrush,Turdus litsitsirupa
711,Kurrichane thrush,Turdus libonyana
712,Olive thrush,Turdus olivaceus
713,Karoo thrush,Turdus smithi
714,African dusky flycatcher,Muscicapa adusta
715,Spotted flycatcher,Muscicapa striata
716,Mariqua flycatcher,Bradornis mariquensis
717,Pale flycatcher,Agricola pallidus
718,Chat flycatcher,Agricola infuscatus
719,Gray tit-flycatcher,Fraseria plumbea
720,Ashy flycatcher,Fraseria caerulescens
721,Fiscal flycatcher,Melaenornis silens
722,Southern black-flycatcher,Melaenornis pammelaina
723,Karoo scrub-robin,Cercotrichas coryphoeus
724,Brown scrub-robin,Cercotrichas signata
725,Bearded scrub-robin,Cercotrichas quadrivirgata
726,Rufous-tailed scrub-robin,Cercotrichas galactotes
727,Kalahari scrub-robin,Cercotrichas paena
728,Red-backed scrub-robin,Cercotrichas leucophrys
729,Cape robin-chat,Cossypha caffra
730,White-throated robin-chat,Cossypha humeralis
731,White-browed robin-chat,Cossypha heuglini
732,Red-capped robin-chat,Cossypha natalensis
733,Chorister robin-chat,Cossypha dichroa
734,Collared palm-thrush,Cichladusa arquata
735,White-starred robin,Pogonocichla stellata
736,White-throated robin,Irania gutturalis
737,Thrush nightingale,Luscinia luscinia
738,European pied flycatcher,Ficedula hypoleuca
739,Collared flycatcher,Ficedula albicollis
740,Common redstart,Phoenicurus phoenicurus
741,Short-toed rock-thrush,Monticola brevipes
742,Sentinel rock-thrush,Monticola explorator
743,Cape rock-thrush,Monticola rupestris
744,Whinchat,Saxicola rubetra
745,African stonechat,Saxicola torquatus
746,Buff-streaked chat,Campicoloides bifasciatus
747,Sickle-winged chat,Emarginata sinuata
748,Karoo chat,Emarginata schlegelii
749,Tractrac chat,Emarginata tractrac
750,Mocking cliff-chat,Thamnolaea cinnamomeiventris
751,Southern anteater-chat,Myrmecocichla formicivora
752,Mountain wheatear,Myrmecocichla monticola
753,Arnot's chat,Myrmecocichla arnotti
754,Northern wheatear,Oenanthe oenanthe
755,Capped wheatear,Oenanthe pileata
756,Pied wheatear,Oenanthe pleschanka
757,Familiar chat,Oenanthe familiaris
758,Boulder chat,Pinarornis plumosus
759,Gurney's sugarbird,Promerops gurneyi
760,Cape sugarbird,Promerops cafer
761,Plain-backed sunbird,Anthreptes reichenowi
762,Collared sunbird,Hedydipna collaris
763,Orange-breasted sunbird,Anthobaphes violacea
764,Olive sunbird,Cyanomitra olivacea
765,Mouse-colored sunbird,Cyanomitra veroxii
766,Amethyst sunbird,Chalcomitra amethystina
767,Scarlet-chested sunbird,Chalcomitra senegalensis
768,Malachite sunbird,Nectarinia famosa
769,Southern double-collared sunbird,Cinnyris chalybeus
770,Neergaard's sunbird,Cinnyris neergaardi
771,Greater double-collared sunbird,Cinnyris afer
772,Mariqua sunbird,Cinnyris mariquensis
773,Purple-banded sunbird,Cinnyris bifasciatus
774,White-breasted sunbird,Cinnyris talatala
775,Variable sunbird,Cinnyris venustus
776,Dusky sunbird,Cinnyris fuscus
777,Red-billed buffalo-weaver,Bubalornis niger
778,Scaly weaver,Sporopipes squamifrons
779,White-browed sparrow-weaver,Plocepasser mahali
780,Sociable weaver,Philetairus socius
781,Red-headed weaver,Anaplectes rubriceps
782,Spectacled weaver,Ploceus ocularis
783,Cape weaver,Ploceus capensis
784,African golden-weaver,Ploceus subaureus
785,Holub's golden-weaver,Ploceus xanthops
786,Southern brown-throated weaver,Ploceus xanthopterus
787,Lesser masked-weaver,Ploceus intermedius
788,Southern masked-weaver,Ploceus velatus
789,Village weaver,Ploceus cucullatus
790,Chestnut weaver,Ploceus rubiginosus
791,Forest weaver,Ploceus bicolor
792,Red-headed quelea,Quelea erythrops
793,Red-billed quelea,Quelea quelea
794,Southern red bishop,Euplectes orix
795,Yellow-crowned bishop,Euplectes afer
796,Yellow bishop,Euplectes capensis
797,White-winged widowbird,Euplectes albonotatus
798,Red-collared widowbird,Euplectes ardens
799,Fan-tailed widowbird,Euplectes axillaris
800,Long-tailed widowbird,Euplectes progne
801,Grosbeak weaver,Amblyospiza albifrons
802,Bronze mannikin,Spermestes cucullata
803,Magpie mannikin,Spermestes fringilloides
804,Black-and-white mannikin,Spermestes bicolor
805,Swee waxbill,Coccopygia melanotis
806,Green-backed twinspot,Mandingoa nitidula
807,Black-faced waxbill,Brunhilda erythronotos
808,Black-tailed waxbill,Glaucestrilda perreini
809,Common waxbill,Estrilda astrild
810,Quailfinch,Ortygospiza atricollis
811,Cut-throat,Amadina fasciata
812,Red-headed finch,Amadina erythrocephala
813,Zebra waxbill,Amandava subflava
814,Violet-eared waxbill,Uraeginthus granatina
815,Southern cordonbleu,Uraeginthus angolensis
816,Green-winged pytilia,Pytilia melba
817,Orange-winged pytilia,Pytilia afra
818,Peters's twinspot,Hypargos niveoguttatus
819,Pink-throated twinspot,Hypargos margaritatus
820,Red-billed firefinch,Lagonosticta senegala
821,African firefinch,Lagonosticta rubricata
822,Jameson's firefinch,Lagonosticta rhodopareia
823,Pin-tailed whydah,Vidua macroura
824,Broad-tailed paradise-whydah,Vidua obtusa
825,Eastern paradise-whydah,Vidua paradisaea
826,Shaft-tailed whydah,Vidua regia
827,Village indigobird,Vidua chalybeata
828,Wilson's indigobird,Vidua wilsoni
829,Variable indigobird,Vidua funerea
830,Purple indigobird,Vidua purpurascens
831,Parasitic weaver,Anomalospiza imberbis
832,House sparrow,Passer domesticus
833,Great rufous sparrow,Passer motitensis
834,Cape sparrow,Passer melanurus
835,Southern gray-headed sparrow,Passer diffusus
836,Yellow-throated bush sparrow,Gymnoris superciliaris
837,Cape wagtail,Motacilla capensis
838,Mountain wagtail,Motacilla clara
839,Gray wagtail,Motacilla cinerea
840,Western yellow wagtail,Motacilla flava
841,Citrine wagtail,Motacilla citreola
842,African pied wagtail,Motacilla aguimp
843,White wagtail,Motacilla alba
844,African pipit,Anthus cinnamomeus
845,Mountain pipit,Anthus hoeschi
846,Nicholson's pipit,Anthus nicholsoni
847,Plain-backed pipit,Anthus leucophrys
848,Buffy pipit,Anthus vaalensis
849,Striped pipit,Anthus lineiventris
850,Yellow-tufted pipit,Anthus crenatus
851,Tree pipit,Anthus trivialis
852,Red-throated pipit,Anthus cervinus
853,Short-tailed pipit,Anthus brachyurus
854,Bush pipit,Anthus caffer
855,Golden pipit,Tmetothylacus tenellus
856,Yellow-breasted pipit,Hemimacronyx chloris
857,Orange-throated longclaw,Macronyx capensis
858,Yellow-throated longclaw,Macronyx croceus
859,Rosy-throated longclaw,Macronyx ameliae
860,Common chaffinch,Fringilla coelebs
861,Yellow-fronted canary,Crithagra mozambica
862,Forest canary,Crithagra scotops
863,Black-throated canary,Crithagra atrogularis
864,Lemon-breasted seedeater,Crithagra citrinipectus
865,Brimstone canary,Crithagra sulphurata
866,Yellow canary,Crithagra flaviventris
867,White-throated canary,Crithagra albogularis
868,Protea canary,Crithagra leucoptera
869,Black-eared seedeater,Crithagra mennelli
870,Streaky-headed seedeater,Crithagra gularis
871,Cape siskin,Crithagra totta
872,Drakensberg siskin,Crithagra symonsi
873,Cape canary,Serinus canicollis
874,Black-headed canary,Serinus alario
875,Ortolan bunting,Emberiza hortulana
876,Golden-breasted bunting,Emberiza flaviventris
877,Cape bunting,Emberiza capensis
878,Lark-like bunting,Emberiza impetuani
879,Cinnamon-breasted bunting,Emberiza tahapisi
