,Common name,Binomial
153,Wattled lapwing,Vanellus senegallus
154,Lesser sand-plover,Charadrius mongolus
155,Greater sand-plover,Charadrius leschenaultii
156,Caspian plover,Charadrius asiaticus
157,Kittlitz's plover,Charadrius pecuarius
158,Common ringed plover,Charadrius hiaticula
159,Little ringed plover,Charadrius dubius
160,Three-banded plover,Charadrius tricollaris
161,White-fronted plover,Charadrius marginatus
162,Chestnut-banded plover,Charadrius pallidus
163,Greater painted-snipe,Rostratula benghalensis
164,Lesser jacana,Microparra capensis
165,African jacana,Actophilornis africanus
166,Whimbrel,Numenius phaeopus
167,Eurasian curlew,Numenius arquata
168,Bar-tailed godwit,Limosa lapponica
169,Black-tailed godwit,Limosa limosa
170,Hudsonian godwit,Limosa haemastica
171,Ruddy turnstone,Arenaria interpres
172,Great knot,Calidris tenuirostris
173,Red knot,Calidris canutus
174,Ruff,Calidris pugnax
175,Broad-billed sandpiper,Calidris falcinellus
176,Curlew sandpiper,Calidris ferruginea
177,Temminck's stint,Calidris temminckii
178,Long-toed stint,Calidris subminuta
179,Red-necked stint,Calidris ruficollis
180,Sanderling,Calidris alba
181,Dunlin,Calidris alpina
182,Baird's sandpiper,Calidris bairdii
183,Little stint,Calidris minuta
184,White-rumped sandpiper,Calidris fuscicollis
185,Buff-breasted sandpiper,Calidris subruficollis
186,Pectoral sandpiper,Calidris melanotos
187,Asian dowitcher,Limnodromus semipalmatus
188,Great snipe,Gallinago media
189,African snipe,Gallinago nigripennis
190,Terek sandpiper,Xenus cinereus
191,Wilson's phalarope,Phalaropus tricolor
192,Red-necked phalarope,Phalaropus lobatus
193,Red phalarope,Phalaropus fulicarius
194,Common sandpiper,Actitis hypoleucos
195,Green sandpiper,Tringa ochropus
196,Spotted redshank,Tringa erythropus
197,Common greenshank,Tringa nebularia
198,Lesser yellowlegs,Tringa flavipes
199,Marsh sandpiper,Tringa stagnatilis
200,Wood sandpiper,Tringa glareola
201,Common redshank,Tringa totanus
202,Small buttonquail,Turnix sylvaticus
203,Black-rumped buttonquail,Turnix nanus
204,Fynbos buttonquail,Turnix hottentottus
205,Crab-plover,Dromas ardeola
206,Burchell's courser,Cursorius rufus
207,Temminck's courser,Cursorius temminckii
208,Double-banded courser,Smutsornis africanus
209,Three-banded courser,Rhinoptilus cinctus
210,Bronze-winged courser,Rhinoptilus chalcopterus
211,Collared pratincole,Glareola pratincola
212,Black-winged pratincole,Glareola nordmanni
213,Rock pratincole,Glareola nuchalis
214,South polar skua,Stercorarius maccormicki
215,Brown skua,Stercorarius antarcticus
216,Pomarine jaeger,Stercorarius pomarinus
217,Parasitic jaeger,Stercorarius parasiticus
218,Long-tailed jaeger,Stercorarius longicaudus
219,Black-legged kittiwake,Rissa tridactyla
220,Sabine's gull,Xema sabini
221,Slender-billed gull,Chroicocephalus genei
222,Grey-hooded gull,Chroicocephalus cirrocephalus
223,Hartlaub's gull,Chroicocephalus hartlaubii
224,Black-headed gull,Chroicocephalus ridibundus
225,Laughing gull,Leucophaeus atricilla
226,Franklin's gull,Leucophaeus pipixcan
227,Sooty gull,Ichthyaetus hemprichii
228,Ring-billed gull,Larus delawarensis
229,Lesser black-backed gull,Larus fuscus
230,Kelp gull,Larus dominicanus
231,Brown noddy,Anous stolidus
232,Lesser noddy,Anous tenuirostris
233,Sooty tern,Onychoprion fuscatus
234,Bridled tern,Onychoprion anaethetus
235,Little tern,Sternula albifrons
236,Damara tern,Sternula balaenarum
237,Gull-billed tern,Gelochelidon nilotica
238,Caspian tern,Hydroprogne caspia
239,Black tern,Chlidonias niger
240,White-winged tern,Chlidonias leucopterus
241,Whiskered tern,Chlidonias hybrida
242,Roseate tern,Sterna dougallii
243,Black-naped tern,Sterna sumatrana
244,Common tern,Sterna hirundo
245,Arctic tern,Sterna paradisaea
246,Antarctic tern,Sterna vittata
247,White-cheeked tern,Sterna repressa
248,Great crested tern,Thalasseus bergii
249,Sandwich tern,Thalasseus sandvicensis
250,Elegant tern,Thalasseus elegans
251,Lesser crested tern,Thalasseus bengalensis
252,Black skimmer,Rynchops niger
253,African skimmer,Rynchops flavirostris
254,White-tailed tropicbird,Phaethon lepturus
255,Red-billed tropicbird,Phaethon aethereus
256,Red-tailed tropicbird,Phaethon rubricauda
257,King penguin,Aptenodytes patagonicus
258,African penguin,Spheniscus demersus
259,Macaroni penguin,Eudyptes chrysolophus
260,Southern rockhopper penguin,Eudyptes chrysocome
261,Moseley's rockhopper penguin,Eudyptes moseleyi
262,Yellow-nosed albatross,Thalassarche chlororhynchos
263,Gray-headed albatross,Thalassarche chrysostoma
264,Buller's albatross,Thalassarche bulleri
265,White-capped albatross,Thalassarche cauta
266,Salvin's albatross,Thalassarche salvini
267,Chatham albatross,Thalassarche eremita
268,Black-browed albatross,Thalassarche melanophrys
269,Sooty albatross,Phoebetria fusca
270,Light-mantled albatross,Phoebetria palpebrata
271,Royal albatross,Diomedea epomophora
272,Wandering albatross,Diomedea exulans
273,Laysan albatross,Phoebastria immutabilis
274,Wilson's storm-petrel,Oceanites oceanicus
275,Gray-backed storm-petrel,Garrodia nereis
276,White-faced storm-petrel,Pelagodroma marina
277,White-bellied storm-petrel,Fregetta grallaria
278,Black-bellied storm-petrel,Fregetta tropica
279,European storm-petrel,Hydrobates pelagicus
280,Leach's storm-petrel,Hydrobates leucorhous
281,Swinhoe's storm-petrel,Hydrobates monorhis
282,Matsudaira's storm-petrel,Hydrobates matsudairae
283,Southern giant-petrel,Macronectes giganteus
284,Northern giant-petrel,Macronectes halli
285,Southern fulmar,Fulmarus glacialoides
286,Antarctic petrel,Thalassoica antarctica
287,Cape petrel,Daption capense
288,Snow petrel,Pagodroma nivea
289,Kerguelen petrel,Aphrodroma brevirostris
290,Great-winged petrel,Pterodroma macroptera
291,Gray-faced petrel,Pterodroma gouldi
292,Trindade petrel,Pterodroma arminjoniana
293,Soft-plumaged petrel,Pterodroma mollis
294,Barau's petrel,Pterodroma baraui
295,White-headed petrel,Pterodroma lessonii
296,Atlantic petrel,Pterodroma incerta
297,Blue petrel,Halobaena caerulea
298,Fairy prion,Pachyptila turtur
299,Broad-billed prion,Pachyptila vittata
300,Salvin's prion,Pachyptila salvini
301,Antarctic prion,Pachyptila desolata
302,Slender-billed prion,Pachyptila belcheri
303,Jouanin's petrel,Bulweria fallax
304,Tahiti petrel,Pseudobulweria rostrata
305,Gray petrel,Procellaria cinerea
306,White-chinned petrel,Procellaria aequinoctialis
307,Spectacled petrel,Procellaria conspicillata
308,Streaked shearwater,Calonectris leucomelas
